# Graph for Java/GraphStream
# Nodes: 25
# Edges: 263

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Óscar de Marcos | Kike Sola | 1 | 48 | 1
EDGE Óscar de Marcos | Jon Aurtenetxe | 4 | 48 | 6
EDGE Borja Viguera | Guillermo Fernández | 3 | 14 | 9
EDGE Borja Viguera | Iago Herrerín | 5 | 14 | 15
EDGE Borja Viguera | Mikel San José | 9 | 14 | 36
EDGE Borja Viguera | Beñat Etxebarria | 8 | 14 | 33
EDGE Borja Viguera | Iñaki Williams | 6 | 14 | 20
EDGE Borja Viguera | Aritz Aduriz | 6 | 14 | 41
EDGE Borja Viguera | Markel Susaeta | 7 | 14 | 31
EDGE Borja Viguera | Iker Muniain | 5 | 14 | 38
EDGE Borja Viguera | Jon Aurtenetxe | 4 | 14 | 6
EDGE Borja Viguera | Ibai Gómez | 4 | 14 | 17
EDGE Borja Viguera | Carlos Gurpegui | 4 | 14 | 25
EDGE Borja Viguera | Erik Morán | 1 | 14 | 2
EDGE Borja Viguera | Ager Aketxe | 1 | 14 | 4
EDGE Guillermo Fernández | Carlos Gurpegui | 4 | 9 | 25
EDGE Guillermo Fernández | Mikel San José | 6 | 9 | 36
EDGE Guillermo Fernández | Beñat Etxebarria | 5 | 9 | 33
EDGE Guillermo Fernández | Ibai Gómez | 5 | 9 | 17
EDGE Guillermo Fernández | Markel Susaeta | 5 | 9 | 31
EDGE Guillermo Fernández | Iago Herrerín | 1 | 9 | 15
EDGE Guillermo Fernández | Iñaki Williams | 3 | 9 | 20
EDGE Guillermo Fernández | Iker Muniain | 3 | 9 | 38
EDGE Guillermo Fernández | Aritz Aduriz | 1 | 9 | 41
EDGE Carlos Gurpegui | Mikel San José | 10 | 25 | 36
EDGE Carlos Gurpegui | Beñat Etxebarria | 16 | 25 | 33
EDGE Carlos Gurpegui | Ibai Gómez | 7 | 25 | 17
EDGE Carlos Gurpegui | Markel Susaeta | 14 | 25 | 31
EDGE Carlos Gurpegui | Iker Muniain | 20 | 25 | 38
EDGE Carlos Gurpegui | Aritz Aduriz | 17 | 25 | 41
EDGE Carlos Gurpegui | Iago Herrerín | 6 | 25 | 15
EDGE Carlos Gurpegui | Iñaki Williams | 9 | 25 | 20
EDGE Carlos Gurpegui | Jon Aurtenetxe | 3 | 25 | 6
EDGE Carlos Gurpegui | Erik Morán | 1 | 25 | 2
EDGE Carlos Gurpegui | Ager Aketxe | 2 | 25 | 4
EDGE Mikel San José | Beñat Etxebarria | 21 | 36 | 33
EDGE Mikel San José | Ibai Gómez | 12 | 36 | 17
EDGE Mikel San José | Markel Susaeta | 18 | 36 | 31
EDGE Mikel San José | Iago Herrerín | 12 | 36 | 15
EDGE Mikel San José | Iñaki Williams | 15 | 36 | 20
EDGE Mikel San José | Aritz Aduriz | 27 | 36 | 41
EDGE Mikel San José | Ager Aketxe | 3 | 36 | 4
EDGE Mikel San José | Iker Muniain | 19 | 36 | 38
EDGE Mikel San José | Jon Aurtenetxe | 4 | 36 | 6
EDGE Mikel San José | Erik Morán | 1 | 36 | 2
EDGE Mikel San José | Unai Bustinza | 2 | 36 | 2
EDGE Mikel San José | Kike Sola | 1 | 36 | 1
EDGE Beñat Etxebarria | Ibai Gómez | 10 | 33 | 17
EDGE Beñat Etxebarria | Markel Susaeta | 14 | 33 | 31
EDGE Beñat Etxebarria | Iago Herrerín | 10 | 33 | 15
EDGE Beñat Etxebarria | Iñaki Williams | 15 | 33 | 20
EDGE Beñat Etxebarria | Aritz Aduriz | 24 | 33 | 41
EDGE Beñat Etxebarria | Ager Aketxe | 3 | 33 | 4
EDGE Beñat Etxebarria | Iker Muniain | 23 | 33 | 38
EDGE Beñat Etxebarria | Jon Aurtenetxe | 5 | 33 | 6
EDGE Beñat Etxebarria | Unai Bustinza | 1 | 33 | 2
EDGE Ibai Gómez | Markel Susaeta | 6 | 17 | 31
EDGE Ibai Gómez | Iago Herrerín | 4 | 17 | 15
EDGE Ibai Gómez | Iker Muniain | 8 | 17 | 38
EDGE Ibai Gómez | Iñaki Williams | 8 | 17 | 20
EDGE Ibai Gómez | Jon Aurtenetxe | 3 | 17 | 6
EDGE Ibai Gómez | Aritz Aduriz | 8 | 17 | 41
EDGE Ibai Gómez | Erik Morán | 1 | 17 | 2
EDGE Ibai Gómez | Ager Aketxe | 2 | 17 | 4
EDGE Markel Susaeta | Iker Muniain | 22 | 31 | 38
EDGE Markel Susaeta | Aritz Aduriz | 24 | 31 | 41
EDGE Markel Susaeta | Iago Herrerín | 5 | 31 | 15
EDGE Markel Susaeta | Erik Morán | 2 | 31 | 2
EDGE Markel Susaeta | Jon Aurtenetxe | 2 | 31 | 6
EDGE Markel Susaeta | Ager Aketxe | 2 | 31 | 4
EDGE Markel Susaeta | Iñaki Williams | 1 | 31 | 20
EDGE Iago Herrerín | Iñaki Williams | 9 | 15 | 20
EDGE Iago Herrerín | Aritz Aduriz | 9 | 15 | 41
EDGE Iago Herrerín | Ager Aketxe | 2 | 15 | 4
EDGE Iago Herrerín | Iker Muniain | 8 | 15 | 38
EDGE Iago Herrerín | Unai Bustinza | 2 | 15 | 2
EDGE Iago Herrerín | Kike Sola | 1 | 15 | 1
EDGE Iago Herrerín | Jon Aurtenetxe | 3 | 15 | 6
EDGE Iago Herrerín | Erik Morán | 1 | 15 | 2
EDGE Iñaki Williams | Aritz Aduriz | 12 | 20 | 41
EDGE Iñaki Williams | Ager Aketxe | 3 | 20 | 4
EDGE Iñaki Williams | Iker Muniain | 10 | 20 | 38
EDGE Iñaki Williams | Jon Aurtenetxe | 4 | 20 | 6
EDGE Iñaki Williams | Unai Bustinza | 2 | 20 | 2
EDGE Iñaki Williams | Kike Sola | 1 | 20 | 1
EDGE Aritz Aduriz | Iker Muniain | 30 | 41 | 38
EDGE Aritz Aduriz | Ager Aketxe | 3 | 41 | 4
EDGE Aritz Aduriz | Jon Aurtenetxe | 3 | 41 | 6
EDGE Aritz Aduriz | Erik Morán | 1 | 41 | 2
EDGE Aritz Aduriz | Unai Bustinza | 1 | 41 | 2
EDGE Iker Muniain | Erik Morán | 1 | 38 | 2
EDGE Iker Muniain | Jon Aurtenetxe | 3 | 38 | 6
EDGE Ager Aketxe | Jon Aurtenetxe | 2 | 4 | 6
EDGE Ager Aketxe | Erik Morán | 1 | 4 | 2
EDGE Jon Aurtenetxe | Erik Morán | 1 | 6 | 2
EDGE Unai Bustinza | Kike Sola | 1 | 2 | 1
