# Graph for Java/GraphStream
# Nodes: 35
# Edges: 405

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Eric García | Sergi Roberto | 5 | 32 | 6
EDGE Eric García | Sergiño Dest | 14 | 32 | 23
EDGE Eric García | Memphis Depay | 18 | 32 | 27
EDGE Eric García | Luuk de Jong | 5 | 32 | 10
EDGE Eric García | Ousmane Dembélé | 12 | 32 | 18
EDGE Eric García | Nico González | 13 | 32 | 17
EDGE Eric García | Ansu Fati | 4 | 32 | 4
EDGE Eric García | Neto | 4 | 32 | 4
EDGE Eric García | Martin Braithwaite | 2 | 32 | 3
EDGE Eric García | Antoine Griezmann | 2 | 32 | 3
EDGE Eric García | Adama Traoré | 4 | 32 | 9
EDGE Eric García | Óscar Mingueza | 10 | 32 | 14
EDGE Eric García | Philippe Coutinho | 3 | 32 | 5
EDGE Eric García | Pierre-Emerick Aubameyang | 10 | 32 | 18
EDGE Eric García | Ilias Akhomach | 3 | 32 | 3
EDGE Eric García | Riqui Puig | 2 | 32 | 3
EDGE Eric García | Clément Lenglet | 4 | 32 | 11
EDGE Eric García | Sergio Agüero | 2 | 32 | 2
EDGE Eric García | Alejandro Balde | 1 | 32 | 2
EDGE Eric García | Yusuf Demir | 1 | 32 | 3
EDGE Frenkie de Jong | Sergi Roberto | 5 | 41 | 6
EDGE Frenkie de Jong | Sergiño Dest | 18 | 41 | 23
EDGE Frenkie de Jong | Memphis Depay | 22 | 41 | 27
EDGE Frenkie de Jong | Luuk de Jong | 8 | 41 | 10
EDGE Frenkie de Jong | Ousmane Dembélé | 15 | 41 | 18
EDGE Frenkie de Jong | Nico González | 11 | 41 | 17
EDGE Frenkie de Jong | Ansu Fati | 4 | 41 | 4
EDGE Frenkie de Jong | Pierre-Emerick Aubameyang | 13 | 41 | 18
EDGE Frenkie de Jong | Neto | 3 | 41 | 4
EDGE Frenkie de Jong | Martin Braithwaite | 3 | 41 | 3
EDGE Frenkie de Jong | Antoine Griezmann | 3 | 41 | 3
EDGE Frenkie de Jong | Adama Traoré | 7 | 41 | 9
EDGE Frenkie de Jong | Clément Lenglet | 9 | 41 | 11
EDGE Frenkie de Jong | Samuel Umtiti | 1 | 41 | 1
EDGE Frenkie de Jong | Yusuf Demir | 3 | 41 | 3
EDGE Frenkie de Jong | Óscar Mingueza | 9 | 41 | 14
EDGE Frenkie de Jong | Ilias Akhomach | 2 | 41 | 3
EDGE Frenkie de Jong | Emerson Royal | 1 | 41 | 1
EDGE Frenkie de Jong | Riqui Puig | 1 | 41 | 3
EDGE Frenkie de Jong | Alejandro Balde | 1 | 41 | 2
EDGE Frenkie de Jong | Philippe Coutinho | 2 | 41 | 5
EDGE Sergi Roberto | Sergiño Dest | 4 | 6 | 23
EDGE Sergi Roberto | Memphis Depay | 6 | 6 | 27
EDGE Sergi Roberto | Luuk de Jong | 2 | 6 | 10
