# Graph for Java/GraphStream
# Nodes: 29
# Edges: 333

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jonathan dos Santos | Denis Cheryshev | 14 | 28 | 27
EDGE Jonathan dos Santos | Luciano Vietto | 20 | 28 | 29
EDGE Jonathan dos Santos | Ikechukwu Uche | 13 | 28 | 27
EDGE Jonathan dos Santos | Gabriel Paulista | 12 | 28 | 28
EDGE Jonathan dos Santos | Bruno Soriano | 13 | 28 | 30
EDGE Jonathan dos Santos | Juan Carlos | 6 | 28 | 10
EDGE Jonathan dos Santos | Adrián Marín | 5 | 28 | 8
EDGE Jonathan dos Santos | Cani | 2 | 28 | 10
EDGE Jonathan dos Santos | Javier Espinosa | 5 | 28 | 9
EDGE Jonathan dos Santos | Bojan Jokic | 2 | 28 | 6
EDGE Jonathan dos Santos | Israel Puerto | 1 | 28 | 2
EDGE Jonathan dos Santos | Matías Nahuel | 1 | 28 | 3
EDGE Jonathan dos Santos | José Naranjo | 1 | 28 | 2
EDGE Víctor Ruiz | Mateo Musacchio | 10 | 34 | 22
EDGE Víctor Ruiz | Mario Gaspar | 30 | 34 | 46
EDGE Víctor Ruiz | Manu Trigueros | 25 | 34 | 40
EDGE Víctor Ruiz | Denis Cheryshev | 21 | 34 | 27
EDGE Víctor Ruiz | Luciano Vietto | 22 | 34 | 29
EDGE Víctor Ruiz | Ikechukwu Uche | 18 | 34 | 27
EDGE Víctor Ruiz | Gabriel Paulista | 18 | 34 | 28
EDGE Víctor Ruiz | Bruno Soriano | 22 | 34 | 30
EDGE Víctor Ruiz | Cani | 7 | 34 | 10
EDGE Víctor Ruiz | Juan Carlos | 6 | 34 | 10
EDGE Víctor Ruiz | Bojan Jokic | 5 | 34 | 6
EDGE Víctor Ruiz | Adrián Marín | 5 | 34 | 8
EDGE Víctor Ruiz | Javier Espinosa | 3 | 34 | 9
EDGE Mateo Musacchio | Mario Gaspar | 18 | 22 | 46
EDGE Mateo Musacchio | Manu Trigueros | 16 | 22 | 40
EDGE Mateo Musacchio | Denis Cheryshev | 11 | 22 | 27
EDGE Mateo Musacchio | Luciano Vietto | 14 | 22 | 29
EDGE Mateo Musacchio | Ikechukwu Uche | 11 | 22 | 27
EDGE Mateo Musacchio | Gabriel Paulista | 7 | 22 | 28
EDGE Mateo Musacchio | Bruno Soriano | 10 | 22 | 30
EDGE Mateo Musacchio | Cani | 5 | 22 | 10
EDGE Mateo Musacchio | Adrián Marín | 2 | 22 | 8
EDGE Mateo Musacchio | Javier Espinosa | 4 | 22 | 9
EDGE Mateo Musacchio | Juan Carlos | 1 | 22 | 10
EDGE Mateo Musacchio | Matías Nahuel | 1 | 22 | 3
EDGE Mario Gaspar | Manu Trigueros | 34 | 46 | 40
EDGE Mario Gaspar | Denis Cheryshev | 25 | 46 | 27
EDGE Mario Gaspar | Luciano Vietto | 27 | 46 | 29
EDGE Mario Gaspar | Ikechukwu Uche | 24 | 46 | 27
EDGE Mario Gaspar | Gabriel Paulista | 24 | 46 | 28
EDGE Mario Gaspar | Bruno Soriano | 25 | 46 | 30
EDGE Mario Gaspar | Cani | 7 | 46 | 10
EDGE Mario Gaspar | Adrián Marín | 4 | 46 | 8
EDGE Mario Gaspar | Javier Espinosa | 4 | 46 | 9
EDGE Mario Gaspar | Juan Carlos | 5 | 46 | 10
EDGE Mario Gaspar | Bojan Jokic | 5 | 46 | 6
EDGE Manu Trigueros | Denis Cheryshev | 21 | 40 | 27
EDGE Manu Trigueros | Luciano Vietto | 21 | 40 | 29
EDGE Manu Trigueros | Ikechukwu Uche | 25 | 40 | 27
EDGE Manu Trigueros | Gabriel Paulista | 19 | 40 | 28
EDGE Manu Trigueros | Bruno Soriano | 22 | 40 | 30
EDGE Manu Trigueros | Cani | 7 | 40 | 10
EDGE Manu Trigueros | Adrián Marín | 3 | 40 | 8
EDGE Manu Trigueros | Javier Espinosa | 4 | 40 | 9
EDGE Manu Trigueros | Juan Carlos | 6 | 40 | 10
EDGE Manu Trigueros | Bojan Jokic | 6 | 40 | 6
