# Graph for Java/GraphStream
# Nodes: 23
# Edges: 247

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Guillermo Franco | Rio Mavuba | 2 | 19 | 9
EDGE Guillermo Franco | Santi Cazorla | 13 | 19 | 38
EDGE Guillermo Franco | Nihat Kahveci | 8 | 19 | 31
EDGE Guillermo Franco | Gonzalo Rodríguez | 6 | 19 | 19
EDGE Guillermo Franco | Sebastián Eguren | 5 | 19 | 14
EDGE Javi Venta | Nihat Kahveci | 17 | 30 | 31
EDGE Javi Venta | Pascal Cygan | 16 | 30 | 28
EDGE Javi Venta | Josemi | 3 | 30 | 7
EDGE Javi Venta | Rio Mavuba | 5 | 30 | 9
EDGE Javi Venta | Santi Cazorla | 23 | 30 | 38
EDGE Javi Venta | Gonzalo Rodríguez | 13 | 30 | 19
EDGE Javi Venta | Sebastián Eguren | 11 | 30 | 14
EDGE Nihat Kahveci | Pascal Cygan | 15 | 31 | 28
EDGE Nihat Kahveci | Josemi | 3 | 31 | 7
EDGE Nihat Kahveci | Rio Mavuba | 3 | 31 | 9
EDGE Nihat Kahveci | Santi Cazorla | 22 | 31 | 38
EDGE Nihat Kahveci | Gonzalo Rodríguez | 15 | 31 | 19
EDGE Nihat Kahveci | Sebastián Eguren | 11 | 31 | 14
EDGE Rio Mavuba | Pascal Cygan | 7 | 9 | 28
EDGE Rio Mavuba | Josemi | 5 | 9 | 7
EDGE Rio Mavuba | Santi Cazorla | 7 | 9 | 38
EDGE Pascal Cygan | Josemi | 6 | 28 | 7
EDGE Pascal Cygan | Santi Cazorla | 23 | 28 | 38
EDGE Pascal Cygan | Gonzalo Rodríguez | 3 | 28 | 19
EDGE Pascal Cygan | Sebastián Eguren | 3 | 28 | 14
EDGE Josemi | Santi Cazorla | 7 | 7 | 38
EDGE Josemi | Gonzalo Rodríguez | 1 | 7 | 19
EDGE Santi Cazorla | Gonzalo Rodríguez | 16 | 38 | 19
EDGE Santi Cazorla | Sebastián Eguren | 11 | 38 | 14
EDGE Gonzalo Rodríguez | Sebastián Eguren | 14 | 19 | 14
