# Graph for Java/GraphStream
# Nodes: 32
# Edges: 318

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Tiko | Fernando Amorebieta | 2 | 10 | 18
EDGE Tiko | Iñaki Lafuente | 3 | 10 | 24
EDGE Tiko | Ander Murillo | 4 | 10 | 21
EDGE Tiko | Javi González | 2 | 10 | 6
EDGE Tiko | Ismael Urzaiz | 2 | 10 | 16
EDGE Tiko | Francisco Tarantino | 1 | 10 | 2
EDGE Tiko | Endika Bordas | 1 | 10 | 2
EDGE Tiko | Ustaritz | 1 | 10 | 18
EDGE Julen Guerrero | Mikel Dañobeitia | 3 | 8 | 11
EDGE Julen Guerrero | Aritz Aduriz | 4 | 8 | 15
EDGE Julen Guerrero | Fernando Amorebieta | 6 | 8 | 18
EDGE Julen Guerrero | Iñaki Lafuente | 5 | 8 | 24
EDGE Julen Guerrero | Ustaritz | 3 | 8 | 18
EDGE Julen Guerrero | Gontzal Rodríguez | 1 | 8 | 1
EDGE Julen Guerrero | David de Paula | 2 | 8 | 2
EDGE Julen Guerrero | Javi González | 2 | 8 | 6
EDGE Julen Guerrero | Jonan García | 1 | 8 | 1
EDGE Julen Guerrero | Eder Martínez | 1 | 8 | 1
EDGE Julen Guerrero | Asier Ormazábal | 1 | 8 | 1
EDGE Julen Guerrero | Pablo Paredes | 1 | 8 | 1
EDGE Julen Guerrero | Aritz Solabarrieta | 1 | 8 | 1
EDGE Julen Guerrero | Joseba Arriaga | 1 | 8 | 1
EDGE Julen Guerrero | Ander Murillo | 2 | 8 | 21
EDGE Julen Guerrero | Ismael Urzaiz | 1 | 8 | 16
EDGE Mikel Dañobeitia | Aritz Aduriz | 5 | 11 | 15
EDGE Mikel Dañobeitia | Fernando Amorebieta | 5 | 11 | 18
EDGE Mikel Dañobeitia | Iñaki Lafuente | 4 | 11 | 24
EDGE Mikel Dañobeitia | Ustaritz | 2 | 11 | 18
EDGE Mikel Dañobeitia | Gontzal Rodríguez | 1 | 11 | 1
EDGE Mikel Dañobeitia | David de Paula | 1 | 11 | 2
EDGE Mikel Dañobeitia | Javi González | 1 | 11 | 6
EDGE Mikel Dañobeitia | Jonan García | 1 | 11 | 1
EDGE Mikel Dañobeitia | Ismael Urzaiz | 4 | 11 | 16
EDGE Mikel Dañobeitia | Ander Murillo | 3 | 11 | 21
EDGE Mikel Dañobeitia | Francisco Tarantino | 1 | 11 | 2
EDGE Mikel Dañobeitia | Endika Bordas | 2 | 11 | 2
EDGE Aritz Aduriz | Fernando Amorebieta | 11 | 15 | 18
EDGE Aritz Aduriz | Iñaki Lafuente | 13 | 15 | 24
EDGE Aritz Aduriz | Ustaritz | 10 | 15 | 18
EDGE Aritz Aduriz | Ismael Urzaiz | 4 | 15 | 16
EDGE Aritz Aduriz | Ander Murillo | 5 | 15 | 21
EDGE Aritz Aduriz | Endika Bordas | 1 | 15 | 2
EDGE Fernando Amorebieta | Iñaki Lafuente | 17 | 18 | 24
EDGE Fernando Amorebieta | Ustaritz | 12 | 18 | 18
EDGE Fernando Amorebieta | Gontzal Rodríguez | 1 | 18 | 1
EDGE Fernando Amorebieta | David de Paula | 2 | 18 | 2
EDGE Fernando Amorebieta | Javi González | 1 | 18 | 6
EDGE Fernando Amorebieta | Jonan García | 1 | 18 | 1
EDGE Fernando Amorebieta | Ismael Urzaiz | 7 | 18 | 16
EDGE Fernando Amorebieta | Eder Martínez | 1 | 18 | 1
EDGE Fernando Amorebieta | Asier Ormazábal | 1 | 18 | 1
EDGE Fernando Amorebieta | Pablo Paredes | 1 | 18 | 1
EDGE Fernando Amorebieta | Aritz Solabarrieta | 1 | 18 | 1
EDGE Fernando Amorebieta | Joseba Arriaga | 1 | 18 | 1
EDGE Fernando Amorebieta | Ander Murillo | 7 | 18 | 21
EDGE Fernando Amorebieta | Endika Bordas | 1 | 18 | 2
EDGE Iñaki Lafuente | Ustaritz | 18 | 24 | 18
EDGE Iñaki Lafuente | Gontzal Rodríguez | 1 | 24 | 1
EDGE Iñaki Lafuente | David de Paula | 2 | 24 | 2
EDGE Iñaki Lafuente | Javi González | 2 | 24 | 6
EDGE Iñaki Lafuente | Jonan García | 1 | 24 | 1
EDGE Iñaki Lafuente | Ander Murillo | 13 | 24 | 21
