# Graph for Java/GraphStream
# Nodes: 26
# Edges: 259

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jonás Ramalho | Ibai Gómez | 5 | 8 | 23
EDGE Jonás Ramalho | Gaizka Toquero | 3 | 8 | 7
EDGE Jonás Ramalho | Fernando Amorebieta | 3 | 8 | 16
EDGE Jonás Ramalho | Raúl Fernández | 3 | 8 | 9
EDGE Jonás Ramalho | Fernando Llorente | 4 | 8 | 8
EDGE Jonás Ramalho | Aymeric Laporte | 2 | 8 | 16
EDGE Jonás Ramalho | Xabier Castillo | 2 | 8 | 8
EDGE Jonás Ramalho | Igor Martínez | 2 | 8 | 2
EDGE Jonás Ramalho | Erik Morán | 1 | 8 | 1
EDGE Jonás Ramalho | Álvaro Peña | 1 | 8 | 1
EDGE Ander Iturraspe | Fernando Amorebieta | 13 | 37 | 16
EDGE Ander Iturraspe | Iñigo Pérez | 8 | 37 | 8
EDGE Ander Iturraspe | Isma López | 11 | 37 | 12
EDGE Ander Iturraspe | Raúl Fernández | 7 | 37 | 9
EDGE Ander Iturraspe | Aymeric Laporte | 8 | 37 | 16
EDGE Ander Iturraspe | Ibai Gómez | 16 | 37 | 23
EDGE Ander Iturraspe | Gaizka Toquero | 6 | 37 | 7
EDGE Ander Iturraspe | Fernando Llorente | 5 | 37 | 8
EDGE Ander Iturraspe | Xabier Castillo | 7 | 37 | 8
EDGE Ander Iturraspe | Igor Martínez | 1 | 37 | 2
EDGE Ander Iturraspe | Iñigo Ruiz de Galarreta | 1 | 37 | 1
EDGE Fernando Amorebieta | Iñigo Pérez | 2 | 16 | 8
EDGE Fernando Amorebieta | Isma López | 3 | 16 | 12
EDGE Fernando Amorebieta | Raúl Fernández | 3 | 16 | 9
EDGE Fernando Amorebieta | Ibai Gómez | 8 | 16 | 23
EDGE Fernando Amorebieta | Gaizka Toquero | 1 | 16 | 7
EDGE Fernando Amorebieta | Fernando Llorente | 3 | 16 | 8
EDGE Fernando Amorebieta | Xabier Castillo | 3 | 16 | 8
EDGE Iñigo Pérez | Isma López | 7 | 8 | 12
EDGE Iñigo Pérez | Ibai Gómez | 2 | 8 | 23
EDGE Iñigo Pérez | Gaizka Toquero | 3 | 8 | 7
EDGE Isma López | Ibai Gómez | 2 | 12 | 23
EDGE Isma López | Gaizka Toquero | 5 | 12 | 7
EDGE Isma López | Raúl Fernández | 4 | 12 | 9
EDGE Isma López | Xabier Castillo | 5 | 12 | 8
EDGE Isma López | Aymeric Laporte | 2 | 12 | 16
EDGE Isma López | Igor Martínez | 2 | 12 | 2
EDGE Isma López | Fernando Llorente | 2 | 12 | 8
EDGE Isma López | Erik Morán | 1 | 12 | 1
EDGE Isma López | Álvaro Peña | 1 | 12 | 1
EDGE Aymeric Laporte | Ibai Gómez | 9 | 16 | 23
EDGE Aymeric Laporte | Fernando Llorente | 3 | 16 | 8
EDGE Aymeric Laporte | Raúl Fernández | 4 | 16 | 9
EDGE Aymeric Laporte | Xabier Castillo | 2 | 16 | 8
EDGE Aymeric Laporte | Igor Martínez | 2 | 16 | 2
EDGE Aymeric Laporte | Gaizka Toquero | 2 | 16 | 7
EDGE Aymeric Laporte | Erik Morán | 1 | 16 | 1
EDGE Aymeric Laporte | Álvaro Peña | 1 | 16 | 1
EDGE Ibai Gómez | Fernando Llorente | 4 | 23 | 8
EDGE Ibai Gómez | Raúl Fernández | 5 | 23 | 9
EDGE Ibai Gómez | Gaizka Toquero | 4 | 23 | 7
EDGE Ibai Gómez | Xabier Castillo | 2 | 23 | 8
EDGE Ibai Gómez | Iñigo Ruiz de Galarreta | 1 | 23 | 1
EDGE Fernando Llorente | Raúl Fernández | 4 | 8 | 9
EDGE Fernando Llorente | Gaizka Toquero | 3 | 8 | 7
EDGE Fernando Llorente | Xabier Castillo | 2 | 8 | 8
EDGE Fernando Llorente | Igor Martínez | 2 | 8 | 2
EDGE Fernando Llorente | Erik Morán | 1 | 8 | 1
EDGE Fernando Llorente | Álvaro Peña | 1 | 8 | 1
EDGE Raúl Fernández | Gaizka Toquero | 4 | 9 | 7
EDGE Raúl Fernández | Xabier Castillo | 5 | 9 | 8
EDGE Raúl Fernández | Igor Martínez | 2 | 9 | 2
EDGE Raúl Fernández | Iñigo Ruiz de Galarreta | 1 | 9 | 1
EDGE Raúl Fernández | Erik Morán | 1 | 9 | 1
EDGE Raúl Fernández | Álvaro Peña | 1 | 9 | 1
EDGE Gaizka Toquero | Xabier Castillo | 3 | 7 | 8
EDGE Gaizka Toquero | Igor Martínez | 2 | 7 | 2
EDGE Gaizka Toquero | Iñigo Ruiz de Galarreta | 1 | 7 | 1
EDGE Gaizka Toquero | Erik Morán | 1 | 7 | 1
EDGE Gaizka Toquero | Álvaro Peña | 1 | 7 | 1
EDGE Xabier Castillo | Igor Martínez | 2 | 8 | 2
EDGE Xabier Castillo | Iñigo Ruiz de Galarreta | 1 | 8 | 1
EDGE Xabier Castillo | Erik Morán | 1 | 8 | 1
EDGE Xabier Castillo | Álvaro Peña | 1 | 8 | 1
EDGE Igor Martínez | Erik Morán | 1 | 2 | 1
EDGE Igor Martínez | Álvaro Peña | 1 | 2 | 1
EDGE Erik Morán | Álvaro Peña | 1 | 1 | 1
