# Graph for Java/GraphStream
# Nodes: 28
# Edges: 329

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Miguel Llambrich | Vicente Iborra | 3 | 11 | 22
EDGE Miguel Llambrich | Santi Cazorla | 4 | 11 | 34
EDGE Miguel Llambrich | Víctor Ruiz | 5 | 11 | 33
EDGE Miguel Llambrich | Javi Fuego | 2 | 11 | 8
EDGE Miguel Llambrich | Pepe Castaño | 1 | 11 | 1
EDGE Miguel Llambrich | Nicola Sansone | 2 | 11 | 4
EDGE Miguel Llambrich | Xavi Quintillà | 1 | 11 | 9
EDGE Miguel Llambrich | Manuel Iturra | 1 | 11 | 2
EDGE Víctor Ruiz | Vicente Iborra | 13 | 33 | 22
EDGE Víctor Ruiz | Santi Cazorla | 22 | 33 | 34
EDGE Víctor Ruiz | Javi Fuego | 5 | 33 | 8
EDGE Víctor Ruiz | Nicola Sansone | 4 | 33 | 4
EDGE Víctor Ruiz | Xavi Quintillà | 3 | 33 | 9
EDGE Víctor Ruiz | Manuel Iturra | 1 | 33 | 2
EDGE Víctor Ruiz | Andrei Rațiu | 1 | 33 | 1
EDGE Vicente Iborra | Santi Cazorla | 19 | 22 | 34
EDGE Vicente Iborra | Xavi Quintillà | 7 | 22 | 9
EDGE Vicente Iborra | Javi Fuego | 1 | 22 | 8
EDGE Santi Cazorla | Javi Fuego | 2 | 34 | 8
EDGE Santi Cazorla | Xavi Quintillà | 8 | 34 | 9
EDGE Santi Cazorla | Manuel Iturra | 2 | 34 | 2
EDGE Santi Cazorla | Nicola Sansone | 3 | 34 | 4
EDGE Javi Fuego | Xavi Quintillà | 1 | 8 | 9
EDGE Javi Fuego | Pepe Castaño | 1 | 8 | 1
EDGE Xavi Quintillà | Manuel Iturra | 1 | 9 | 2
EDGE Xavi Quintillà | Nicola Sansone | 1 | 9 | 4
EDGE Manuel Iturra | Nicola Sansone | 1 | 2 | 4
