# Graph for Java/GraphStream
# Nodes: 25
# Edges: 281

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Álvaro González | Roberto Soldado | 9 | 28 | 11
EDGE Álvaro González | Cédric Bakambu | 13 | 28 | 22
EDGE Álvaro González | Rafael Borré | 8 | 28 | 12
EDGE Álvaro González | Cote | 10 | 28 | 17
EDGE Álvaro González | Daniele Bonera | 8 | 28 | 10
EDGE Álvaro González | Mariano Barbosa | 2 | 28 | 2
EDGE Álvaro González | Alfred N'Diaye | 3 | 28 | 6
EDGE Álvaro González | Adrián López | 4 | 28 | 7
EDGE Álvaro González | Denis Cheryshev | 5 | 28 | 8
EDGE Antonio Rukavina | Rodri | 5 | 11 | 14
EDGE Antonio Rukavina | Jonathan dos Santos | 8 | 11 | 32
EDGE Antonio Rukavina | Roberto Soldado | 2 | 11 | 11
EDGE Antonio Rukavina | Cédric Bakambu | 4 | 11 | 22
EDGE Antonio Rukavina | Rafael Borré | 7 | 11 | 12
EDGE Antonio Rukavina | Daniele Bonera | 4 | 11 | 10
EDGE Antonio Rukavina | Cote | 6 | 11 | 17
EDGE Antonio Rukavina | Denis Cheryshev | 6 | 11 | 8
EDGE Antonio Rukavina | Mariano Barbosa | 1 | 11 | 2
EDGE Antonio Rukavina | Alfred N'Diaye | 4 | 11 | 6
EDGE Antonio Rukavina | Adrián López | 1 | 11 | 7
EDGE Rodri | Jonathan dos Santos | 9 | 14 | 32
EDGE Rodri | Roberto Soldado | 4 | 14 | 11
EDGE Rodri | Cédric Bakambu | 6 | 14 | 22
EDGE Rodri | Rafael Borré | 5 | 14 | 12
EDGE Rodri | Mariano Barbosa | 2 | 14 | 2
EDGE Rodri | Cote | 7 | 14 | 17
EDGE Rodri | Alfred N'Diaye | 1 | 14 | 6
EDGE Rodri | Daniele Bonera | 4 | 14 | 10
EDGE Rodri | Adrián López | 3 | 14 | 7
EDGE Rodri | Denis Cheryshev | 3 | 14 | 8
EDGE Jonathan dos Santos | Roberto Soldado | 6 | 32 | 11
EDGE Jonathan dos Santos | Cédric Bakambu | 14 | 32 | 22
EDGE Jonathan dos Santos | Cote | 14 | 32 | 17
EDGE Jonathan dos Santos | Rafael Borré | 7 | 32 | 12
EDGE Jonathan dos Santos | Daniele Bonera | 8 | 32 | 10
EDGE Jonathan dos Santos | Mariano Barbosa | 2 | 32 | 2
EDGE Jonathan dos Santos | Alfred N'Diaye | 4 | 32 | 6
EDGE Jonathan dos Santos | Adrián López | 6 | 32 | 7
EDGE Jonathan dos Santos | Denis Cheryshev | 7 | 32 | 8
EDGE Roberto Soldado | Cédric Bakambu | 10 | 11 | 22
EDGE Roberto Soldado | Daniele Bonera | 5 | 11 | 10
EDGE Roberto Soldado | Cote | 2 | 11 | 17
EDGE Roberto Soldado | Denis Cheryshev | 1 | 11 | 8
EDGE Roberto Soldado | Rafael Borré | 1 | 11 | 12
EDGE Cédric Bakambu | Daniele Bonera | 5 | 22 | 10
EDGE Cédric Bakambu | Cote | 3 | 22 | 17
EDGE Cédric Bakambu | Adrián López | 3 | 22 | 7
EDGE Cédric Bakambu | Denis Cheryshev | 4 | 22 | 8
EDGE Cédric Bakambu | Rafael Borré | 2 | 22 | 12
EDGE Cédric Bakambu | Mariano Barbosa | 1 | 22 | 2
EDGE Rafael Borré | Cote | 9 | 12 | 17
EDGE Rafael Borré | Mariano Barbosa | 2 | 12 | 2
EDGE Rafael Borré | Alfred N'Diaye | 5 | 12 | 6
EDGE Rafael Borré | Daniele Bonera | 4 | 12 | 10
EDGE Rafael Borré | Denis Cheryshev | 5 | 12 | 8
EDGE Cote | Daniele Bonera | 6 | 17 | 10
EDGE Cote | Mariano Barbosa | 1 | 17 | 2
EDGE Cote | Alfred N'Diaye | 5 | 17 | 6
EDGE Cote | Adrián López | 3 | 17 | 7
EDGE Cote | Denis Cheryshev | 6 | 17 | 8
EDGE Daniele Bonera | Adrián López | 1 | 10 | 7
EDGE Daniele Bonera | Denis Cheryshev | 3 | 10 | 8
EDGE Daniele Bonera | Mariano Barbosa | 1 | 10 | 2
EDGE Daniele Bonera | Alfred N'Diaye | 2 | 10 | 6
EDGE Mariano Barbosa | Alfred N'Diaye | 1 | 2 | 6
EDGE Mariano Barbosa | Denis Cheryshev | 1 | 2 | 8
EDGE Alfred N'Diaye | Denis Cheryshev | 2 | 6 | 8
EDGE Adrián López | Denis Cheryshev | 1 | 7 | 8
