# Graph for Java/GraphStream
# Nodes: 28
# Edges: 322

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Samuel Chukwueze | Paco Alcácer | 6 | 16 | 13
EDGE Samuel Chukwueze | Adrián Dela | 1 | 16 | 1
EDGE Samuel Chukwueze | Pervis Estupiñán | 6 | 16 | 25
EDGE Samuel Chukwueze | Dani Raba | 2 | 16 | 3
EDGE Samuel Chukwueze | Giovani Lo Celso | 8 | 16 | 17
EDGE Moi Gómez | Paco Alcácer | 4 | 17 | 13
EDGE Moi Gómez | Dani Raba | 2 | 17 | 3
EDGE Moi Gómez | Nicolas Jackson | 1 | 17 | 1
EDGE Moi Gómez | Pervis Estupiñán | 7 | 17 | 25
EDGE Moi Gómez | Giovani Lo Celso | 2 | 17 | 17
EDGE Paco Alcácer | Adrián Dela | 1 | 13 | 1
EDGE Paco Alcácer | Pervis Estupiñán | 2 | 13 | 25
EDGE Paco Alcácer | Dani Raba | 2 | 13 | 3
EDGE Paco Alcácer | Giovani Lo Celso | 2 | 13 | 17
EDGE Adrián Dela | Pervis Estupiñán | 1 | 1 | 25
EDGE Adrián Dela | Dani Raba | 1 | 1 | 3
EDGE Pervis Estupiñán | Dani Raba | 1 | 25 | 3
EDGE Pervis Estupiñán | Giovani Lo Celso | 11 | 25 | 17
EDGE Dani Raba | Nicolas Jackson | 1 | 3 | 1
