# Graph for Java/GraphStream
# Nodes: 28
# Edges: 286

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Damián Escudero | Marcos Gullón | 1 | 8 | 1
EDGE Damián Escudero | Jonathan Pereira | 2 | 8 | 3
EDGE Damián Escudero | Sebastián Eguren | 4 | 8 | 16
EDGE Damián Escudero | Ariel Ibagaza | 2 | 8 | 19
EDGE Damián Escudero | Joan Oriol | 1 | 8 | 1
EDGE Giuseppe Rossi | Nilmar | 20 | 34 | 36
EDGE Giuseppe Rossi | Cani | 25 | 34 | 37
EDGE Giuseppe Rossi | Joseba Llorente | 16 | 34 | 28
EDGE Giuseppe Rossi | Gonzalo Rodríguez | 18 | 34 | 28
EDGE Giuseppe Rossi | Ángel López | 23 | 34 | 34
EDGE Giuseppe Rossi | Ariel Ibagaza | 15 | 34 | 19
EDGE Giuseppe Rossi | Sebastián Eguren | 12 | 34 | 16
EDGE Giuseppe Rossi | Santi Cazorla | 17 | 34 | 20
EDGE Giuseppe Rossi | Mateo Musacchio | 3 | 34 | 5
EDGE Giuseppe Rossi | Xavier Oliva | 1 | 34 | 3
EDGE Giuseppe Rossi | Kiko Olivas | 2 | 34 | 4
EDGE Giuseppe Rossi | Marcos Gullón | 1 | 34 | 1
EDGE Giuseppe Rossi | Jonathan Pereira | 1 | 34 | 3
EDGE Giuseppe Rossi | Fabricio Fuentes | 1 | 34 | 1
EDGE Giuseppe Rossi | David Fuster | 4 | 34 | 14
EDGE Giuseppe Rossi | Joan Oriol | 1 | 34 | 1
EDGE Nilmar | Gonzalo Rodríguez | 23 | 36 | 28
EDGE Nilmar | Ángel López | 25 | 36 | 34
EDGE Nilmar | Ariel Ibagaza | 13 | 36 | 19
EDGE Nilmar | Cani | 24 | 36 | 37
EDGE Nilmar | Joseba Llorente | 16 | 36 | 28
EDGE Nilmar | Santi Cazorla | 11 | 36 | 20
EDGE Nilmar | Mateo Musacchio | 4 | 36 | 5
EDGE Nilmar | Sebastián Eguren | 8 | 36 | 16
EDGE Nilmar | Kiko Olivas | 3 | 36 | 4
EDGE Nilmar | Xavier Oliva | 2 | 36 | 3
EDGE Nilmar | David Fuster | 9 | 36 | 14
EDGE Nilmar | Javier Matilla | 2 | 36 | 2
EDGE Nilmar | Jonathan Pereira | 2 | 36 | 3
EDGE Nilmar | Marco Ruben | 1 | 36 | 1
EDGE Cani | Joseba Llorente | 21 | 37 | 28
EDGE Cani | Gonzalo Rodríguez | 20 | 37 | 28
EDGE Cani | Ángel López | 26 | 37 | 34
EDGE Cani | Ariel Ibagaza | 14 | 37 | 19
EDGE Cani | Mateo Musacchio | 3 | 37 | 5
EDGE Cani | David Fuster | 8 | 37 | 14
EDGE Cani | Sebastián Eguren | 13 | 37 | 16
EDGE Cani | Santi Cazorla | 15 | 37 | 20
EDGE Cani | Kiko Olivas | 2 | 37 | 4
EDGE Cani | Xavier Oliva | 1 | 37 | 3
EDGE Cani | Fabricio Fuentes | 1 | 37 | 1
EDGE Cani | Javier Matilla | 1 | 37 | 2
EDGE Cani | Joan Oriol | 1 | 37 | 1
EDGE Cani | Jonathan Pereira | 1 | 37 | 3
EDGE Joseba Llorente | Mateo Musacchio | 4 | 28 | 5
EDGE Joseba Llorente | Ángel López | 19 | 28 | 34
EDGE Joseba Llorente | David Fuster | 5 | 28 | 14
EDGE Joseba Llorente | Ariel Ibagaza | 13 | 28 | 19
EDGE Joseba Llorente | Sebastián Eguren | 9 | 28 | 16
EDGE Joseba Llorente | Santi Cazorla | 9 | 28 | 20
EDGE Joseba Llorente | Gonzalo Rodríguez | 15 | 28 | 28
EDGE Joseba Llorente | Xavier Oliva | 2 | 28 | 3
EDGE Joseba Llorente | Fabricio Fuentes | 1 | 28 | 1
EDGE Joseba Llorente | Kiko Olivas | 1 | 28 | 4
EDGE Joseba Llorente | Jonathan Pereira | 1 | 28 | 3
EDGE Joseba Llorente | Joan Oriol | 1 | 28 | 1
EDGE Gonzalo Rodríguez | Ángel López | 21 | 28 | 34
EDGE Gonzalo Rodríguez | Ariel Ibagaza | 13 | 28 | 19
EDGE Gonzalo Rodríguez | Santi Cazorla | 9 | 28 | 20
EDGE Gonzalo Rodríguez | Mateo Musacchio | 1 | 28 | 5
EDGE Gonzalo Rodríguez | Sebastián Eguren | 8 | 28 | 16
EDGE Gonzalo Rodríguez | Xavier Oliva | 3 | 28 | 3
EDGE Gonzalo Rodríguez | Kiko Olivas | 2 | 28 | 4
