# Graph for Java/GraphStream
# Nodes: 28
# Edges: 300

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Luka Modrić | Víctor Chust | 1 | 43 | 2
EDGE Martin Ødegaard | Rodrygo | 2 | 5 | 13
EDGE Martin Ødegaard | Daniel Carvajal | 4 | 5 | 13
EDGE Martin Ødegaard | Eden Hazard | 2 | 5 | 11
EDGE Martin Ødegaard | Mariano Díaz | 2 | 5 | 7
EDGE Martin Ødegaard | Luka Jović | 1 | 5 | 3
EDGE Rodrygo | Éder Militão | 6 | 13 | 19
EDGE Rodrygo | Daniel Carvajal | 4 | 13 | 13
EDGE Rodrygo | Isco | 2 | 13 | 10
EDGE Rodrygo | Marcelo | 3 | 13 | 15
EDGE Rodrygo | Luka Jović | 1 | 13 | 3
EDGE Rodrygo | Miguel Gutiérrez | 2 | 13 | 3
EDGE Rodrygo | Álvaro Odriozola | 3 | 13 | 10
EDGE Rodrygo | Antonio Blanco | 1 | 13 | 2
EDGE Rodrygo | Víctor Chust | 1 | 13 | 2
EDGE Rodrygo | Mariano Díaz | 1 | 13 | 7
EDGE Rodrygo | Marvin Park | 1 | 13 | 2
EDGE Éder Militão | Daniel Carvajal | 2 | 19 | 13
EDGE Éder Militão | Isco | 4 | 19 | 10
EDGE Éder Militão | Eden Hazard | 5 | 19 | 11
EDGE Éder Militão | Andriy Lunin | 1 | 19 | 1
EDGE Éder Militão | Víctor Chust | 2 | 19 | 2
EDGE Éder Militão | Marcelo | 9 | 19 | 15
EDGE Éder Militão | Álvaro Odriozola | 8 | 19 | 10
EDGE Éder Militão | Mariano Díaz | 2 | 19 | 7
EDGE Éder Militão | Luka Jović | 1 | 19 | 3
EDGE Éder Militão | Miguel Gutiérrez | 3 | 19 | 3
EDGE Éder Militão | Antonio Blanco | 2 | 19 | 2
EDGE Éder Militão | Marvin Park | 1 | 19 | 2
EDGE Daniel Carvajal | Isco | 1 | 13 | 10
EDGE Daniel Carvajal | Eden Hazard | 2 | 13 | 11
EDGE Daniel Carvajal | Mariano Díaz | 2 | 13 | 7
EDGE Daniel Carvajal | Marcelo | 2 | 13 | 15
EDGE Daniel Carvajal | Luka Jović | 1 | 13 | 3
EDGE Isco | Andriy Lunin | 1 | 10 | 1
EDGE Isco | Víctor Chust | 2 | 10 | 2
EDGE Isco | Marcelo | 6 | 10 | 15
EDGE Isco | Álvaro Odriozola | 3 | 10 | 10
EDGE Isco | Mariano Díaz | 3 | 10 | 7
EDGE Isco | Luka Jović | 1 | 10 | 3
EDGE Álvaro Odriozola | Andriy Lunin | 1 | 10 | 1
EDGE Álvaro Odriozola | Víctor Chust | 2 | 10 | 2
EDGE Álvaro Odriozola | Marcelo | 6 | 10 | 15
EDGE Álvaro Odriozola | Mariano Díaz | 2 | 10 | 7
EDGE Álvaro Odriozola | Miguel Gutiérrez | 2 | 10 | 3
EDGE Álvaro Odriozola | Eden Hazard | 2 | 10 | 11
EDGE Álvaro Odriozola | Antonio Blanco | 2 | 10 | 2
EDGE Álvaro Odriozola | Luka Jović | 1 | 10 | 3
EDGE Eden Hazard | Marcelo | 3 | 11 | 15
EDGE Eden Hazard | Mariano Díaz | 3 | 11 | 7
EDGE Eden Hazard | Antonio Blanco | 1 | 11 | 2
EDGE Marvin Park | Marcelo | 1 | 2 | 15
EDGE Marvin Park | Miguel Gutiérrez | 1 | 2 | 3
EDGE Marcelo | Andriy Lunin | 1 | 15 | 1
EDGE Marcelo | Víctor Chust | 2 | 15 | 2
EDGE Marcelo | Mariano Díaz | 3 | 15 | 7
EDGE Marcelo | Luka Jović | 2 | 15 | 3
EDGE Marcelo | Antonio Blanco | 2 | 15 | 2
EDGE Andriy Lunin | Víctor Chust | 1 | 1 | 2
EDGE Andriy Lunin | Mariano Díaz | 1 | 1 | 7
EDGE Víctor Chust | Mariano Díaz | 2 | 2 | 7
