# Graph for Java/GraphStream
# Nodes: 25
# Edges: 262

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE César Azpilicueta | Thomas Lemar | 3 | 18 | 3
EDGE César Azpilicueta | Yannick Carrasco | 2 | 18 | 3
EDGE César Azpilicueta | Memphis Depay | 2 | 18 | 11
EDGE César Azpilicueta | Çağlar Söyüncü | 1 | 18 | 2
EDGE César Azpilicueta | Javi Galán | 1 | 18 | 2
EDGE César Azpilicueta | Arthur Vermeeren | 1 | 18 | 2
EDGE César Azpilicueta | Gabriel Paulista | 1 | 18 | 5
EDGE Stefan Savic | Rodrigo De Paul | 20 | 26 | 38
EDGE Stefan Savic | Ángel Correa | 9 | 26 | 18
EDGE Stefan Savic | Reinildo Mandava | 6 | 26 | 8
EDGE Stefan Savic | Pablo Barrios | 11 | 26 | 20
EDGE Stefan Savic | Rodrigo Riquelme | 9 | 26 | 20
EDGE Stefan Savic | Thomas Lemar | 3 | 26 | 3
EDGE Stefan Savic | Yannick Carrasco | 3 | 26 | 3
EDGE Stefan Savic | Memphis Depay | 6 | 26 | 11
EDGE Stefan Savic | Javi Galán | 1 | 26 | 2
EDGE Stefan Savic | Gabriel Paulista | 2 | 26 | 5
EDGE Rodrigo De Paul | Ángel Correa | 10 | 38 | 18
EDGE Rodrigo De Paul | Reinildo Mandava | 5 | 38 | 8
EDGE Rodrigo De Paul | Rodrigo Riquelme | 11 | 38 | 20
EDGE Rodrigo De Paul | Gabriel Paulista | 5 | 38 | 5
EDGE Rodrigo De Paul | Pablo Barrios | 10 | 38 | 20
EDGE Rodrigo De Paul | Memphis Depay | 8 | 38 | 11
EDGE Rodrigo De Paul | Thomas Lemar | 2 | 38 | 3
EDGE Rodrigo De Paul | Yannick Carrasco | 3 | 38 | 3
EDGE Rodrigo De Paul | Arthur Vermeeren | 1 | 38 | 2
EDGE Rodrigo De Paul | Javi Galán | 1 | 38 | 2
EDGE Ángel Correa | Reinildo Mandava | 4 | 18 | 8
EDGE Ángel Correa | Pablo Barrios | 8 | 18 | 20
EDGE Ángel Correa | Rodrigo Riquelme | 7 | 18 | 20
EDGE Ángel Correa | Arthur Vermeeren | 2 | 18 | 2
EDGE Ángel Correa | Memphis Depay | 3 | 18 | 11
EDGE Ángel Correa | Çağlar Söyüncü | 1 | 18 | 2
EDGE Ángel Correa | Javi Galán | 1 | 18 | 2
EDGE Ángel Correa | Gabriel Paulista | 2 | 18 | 5
EDGE Reinildo Mandava | Pablo Barrios | 7 | 8 | 20
EDGE Reinildo Mandava | Rodrigo Riquelme | 4 | 8 | 20
EDGE Reinildo Mandava | Arthur Vermeeren | 1 | 8 | 2
EDGE Reinildo Mandava | Memphis Depay | 5 | 8 | 11
EDGE Reinildo Mandava | Gabriel Paulista | 1 | 8 | 5
EDGE Pablo Barrios | Gabriel Paulista | 3 | 20 | 5
EDGE Pablo Barrios | Rodrigo Riquelme | 8 | 20 | 20
EDGE Pablo Barrios | Arthur Vermeeren | 1 | 20 | 2
EDGE Pablo Barrios | Memphis Depay | 7 | 20 | 11
EDGE Pablo Barrios | Thomas Lemar | 1 | 20 | 3
EDGE Pablo Barrios | Yannick Carrasco | 1 | 20 | 3
EDGE Rodrigo Riquelme | Arthur Vermeeren | 1 | 20 | 2
EDGE Rodrigo Riquelme | Memphis Depay | 4 | 20 | 11
EDGE Rodrigo Riquelme | Çağlar Söyüncü | 1 | 20 | 2
EDGE Rodrigo Riquelme | Javi Galán | 1 | 20 | 2
EDGE Rodrigo Riquelme | Thomas Lemar | 1 | 20 | 3
EDGE Gabriel Paulista | Memphis Depay | 3 | 5 | 11
EDGE Memphis Depay | Arthur Vermeeren | 1 | 11 | 2
EDGE Memphis Depay | Thomas Lemar | 1 | 11 | 3
EDGE Memphis Depay | Yannick Carrasco | 2 | 11 | 3
EDGE Memphis Depay | Çağlar Söyüncü | 1 | 11 | 2
EDGE Memphis Depay | Javi Galán | 1 | 11 | 2
EDGE Thomas Lemar | Yannick Carrasco | 2 | 3 | 3
EDGE Çağlar Söyüncü | Javi Galán | 1 | 2 | 2
