# Graph for Java/GraphStream
# Nodes: 27
# Edges: 289

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Álvaro Tejero | Dani Ceballos | 2 | 2 | 9
EDGE Álvaro Tejero | Óscar Rodríguez | 1 | 2 | 1
EDGE Álvaro Tejero | Franchu | 1 | 2 | 1
EDGE Álvaro Tejero | Borja Mayoral | 2 | 2 | 9
EDGE Álvaro Tejero | Jesús Vallejo | 1 | 2 | 12
EDGE Achraf Hakimi | Marcos Llorente | 6 | 14 | 11
EDGE Achraf Hakimi | Dani Ceballos | 3 | 14 | 9
EDGE Achraf Hakimi | Óscar Rodríguez | 1 | 14 | 1
EDGE Achraf Hakimi | Franchu | 1 | 14 | 1
EDGE Achraf Hakimi | Borja Mayoral | 3 | 14 | 9
EDGE Achraf Hakimi | Jesús Vallejo | 3 | 14 | 12
EDGE Marcos Llorente | Dani Ceballos | 6 | 11 | 9
EDGE Marcos Llorente | Óscar Rodríguez | 1 | 11 | 1
EDGE Marcos Llorente | Franchu | 1 | 11 | 1
EDGE Marcos Llorente | Borja Mayoral | 6 | 11 | 9
EDGE Marcos Llorente | Jesús Vallejo | 5 | 11 | 12
EDGE Dani Ceballos | Óscar Rodríguez | 1 | 9 | 1
EDGE Dani Ceballos | Franchu | 1 | 9 | 1
EDGE Dani Ceballos | Borja Mayoral | 6 | 9 | 9
EDGE Dani Ceballos | Jesús Vallejo | 6 | 9 | 12
EDGE Óscar Rodríguez | Franchu | 1 | 1 | 1
EDGE Óscar Rodríguez | Borja Mayoral | 1 | 1 | 9
EDGE Franchu | Borja Mayoral | 1 | 1 | 9
EDGE Borja Mayoral | Jesús Vallejo | 5 | 9 | 12
