# Graph for Java/GraphStream
# Nodes: 22
# Edges: 211

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Nico Gaitán | José María Giménez | 11 | 19 | 23
EDGE Nico Gaitán | Lucas Hernández | 8 | 19 | 20
EDGE Nico Gaitán | Ángel Correa | 8 | 19 | 17
EDGE Nico Gaitán | Kévin Gameiro | 6 | 19 | 27
EDGE Nico Gaitán | Augusto Fernández | 1 | 19 | 2
EDGE Nico Gaitán | Caio Henrique | 1 | 19 | 1
EDGE José María Giménez | Fernando Torres | 6 | 23 | 21
EDGE José María Giménez | Kévin Gameiro | 11 | 23 | 27
EDGE José María Giménez | Tiago Mendes | 3 | 23 | 6
EDGE José María Giménez | Lucas Hernández | 9 | 23 | 20
EDGE José María Giménez | Ángel Correa | 11 | 23 | 17
EDGE José María Giménez | Augusto Fernández | 1 | 23 | 2
EDGE José María Giménez | Caio Henrique | 1 | 23 | 1
EDGE Fernando Torres | Lucas Hernández | 7 | 21 | 20
EDGE Fernando Torres | Tiago Mendes | 1 | 21 | 6
EDGE Fernando Torres | Ángel Correa | 5 | 21 | 17
EDGE Fernando Torres | Kévin Gameiro | 1 | 21 | 27
EDGE Kévin Gameiro | Ángel Correa | 7 | 27 | 17
EDGE Kévin Gameiro | Tiago Mendes | 5 | 27 | 6
EDGE Kévin Gameiro | Lucas Hernández | 9 | 27 | 20
EDGE Kévin Gameiro | Augusto Fernández | 1 | 27 | 2
EDGE Lucas Hernández | Tiago Mendes | 3 | 20 | 6
EDGE Lucas Hernández | Ángel Correa | 10 | 20 | 17
EDGE Lucas Hernández | Caio Henrique | 1 | 20 | 1
EDGE Tiago Mendes | Ángel Correa | 2 | 6 | 17
EDGE Ángel Correa | Augusto Fernández | 1 | 17 | 2
EDGE Ángel Correa | Caio Henrique | 1 | 17 | 1
