# Graph for Java/GraphStream
# Nodes: 28
# Edges: 287

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Míchel Salgado | Gonzalo Higuaín | 6 | 16 | 17
EDGE Emerson | José Antonio Reyes | 10 | 33 | 19
EDGE Emerson | Antonio Cassano | 5 | 33 | 8
EDGE Emerson | Iván Helguera | 17 | 33 | 28
EDGE Emerson | Guti | 21 | 33 | 26
EDGE Emerson | Cicinho | 6 | 33 | 6
EDGE Emerson | Ronaldo | 3 | 33 | 6
EDGE Emerson | Gonzalo Higuaín | 5 | 33 | 17
EDGE Emerson | Raúl Bravo | 2 | 33 | 6
EDGE Emerson | Álvaro Mejía | 4 | 33 | 7
EDGE Emerson | Marcelo | 1 | 33 | 1
EDGE José Antonio Reyes | Iván Helguera | 10 | 19 | 28
EDGE José Antonio Reyes | Gonzalo Higuaín | 8 | 19 | 17
EDGE José Antonio Reyes | Diego López | 4 | 19 | 5
EDGE José Antonio Reyes | Francisco Pavón | 2 | 19 | 2
EDGE José Antonio Reyes | Álvaro Mejía | 5 | 19 | 7
EDGE José Antonio Reyes | Raúl Bravo | 4 | 19 | 6
EDGE José Antonio Reyes | Javi García | 2 | 19 | 2
EDGE José Antonio Reyes | Antonio Cassano | 2 | 19 | 8
EDGE José Antonio Reyes | Ronaldo | 2 | 19 | 6
EDGE José Antonio Reyes | Cicinho | 2 | 19 | 6
EDGE José Antonio Reyes | Guti | 9 | 19 | 26
EDGE Antonio Cassano | Diego López | 2 | 8 | 5
EDGE Antonio Cassano | Francisco Pavón | 1 | 8 | 2
EDGE Antonio Cassano | Álvaro Mejía | 3 | 8 | 7
EDGE Antonio Cassano | Raúl Bravo | 3 | 8 | 6
EDGE Antonio Cassano | Javi García | 1 | 8 | 2
EDGE Antonio Cassano | Ronaldo | 2 | 8 | 6
EDGE Antonio Cassano | Rubén de la Red | 1 | 8 | 1
EDGE Antonio Cassano | Miguel Ángel Nieto | 1 | 8 | 1
EDGE Antonio Cassano | Cicinho | 2 | 8 | 6
EDGE Antonio Cassano | Guti | 3 | 8 | 26
EDGE Antonio Cassano | Iván Helguera | 2 | 8 | 28
EDGE Antonio Cassano | Gonzalo Higuaín | 1 | 8 | 17
EDGE Iván Helguera | Guti | 18 | 28 | 26
EDGE Iván Helguera | Gonzalo Higuaín | 15 | 28 | 17
EDGE Iván Helguera | Raúl Bravo | 3 | 28 | 6
EDGE Iván Helguera | Ronaldo | 1 | 28 | 6
EDGE Iván Helguera | Marcelo | 1 | 28 | 1
EDGE Iván Helguera | Diego López | 2 | 28 | 5
EDGE Iván Helguera | Álvaro Mejía | 1 | 28 | 7
EDGE Guti | Gonzalo Higuaín | 7 | 26 | 17
EDGE Guti | Cicinho | 3 | 26 | 6
EDGE Guti | Ronaldo | 3 | 26 | 6
EDGE Guti | Álvaro Mejía | 3 | 26 | 7
EDGE Guti | Raúl Bravo | 1 | 26 | 6
EDGE Gonzalo Higuaín | Raúl Bravo | 2 | 17 | 6
EDGE Gonzalo Higuaín | Marcelo | 1 | 17 | 1
