# Graph for Java/GraphStream
# Nodes: 25
# Edges: 273

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Míchel Salgado | Arjen Robben | 4 | 12 | 16
EDGE Míchel Salgado | Christoph Metzelder | 3 | 12 | 11
EDGE Míchel Salgado | Jerzy Dudek | 4 | 12 | 5
EDGE Míchel Salgado | Gonzalo Higuaín | 5 | 12 | 12
EDGE Míchel Salgado | Javier Saviola | 3 | 12 | 7
EDGE Míchel Salgado | Gabriel Heinze | 3 | 12 | 23
EDGE Míchel Salgado | Javier Balboa | 1 | 12 | 2
EDGE Míchel Salgado | Roberto Soldado | 1 | 12 | 2
EDGE Guti | Marcelo | 24 | 38 | 32
EDGE Guti | Fernando Gago | 25 | 38 | 32
EDGE Guti | Júlio Baptista | 8 | 38 | 16
EDGE Guti | Arjen Robben | 12 | 38 | 16
EDGE Guti | Gabriel Heinze | 16 | 38 | 23
EDGE Guti | Javier Saviola | 6 | 38 | 7
EDGE Guti | Christoph Metzelder | 11 | 38 | 11
EDGE Guti | Jerzy Dudek | 5 | 38 | 5
EDGE Guti | Gonzalo Higuaín | 12 | 38 | 12
EDGE Guti | Javier Balboa | 2 | 38 | 2
EDGE Guti | Roberto Soldado | 2 | 38 | 2
EDGE Guti | Jordi Codina | 1 | 38 | 1
EDGE Marcelo | Fernando Gago | 21 | 32 | 32
EDGE Marcelo | Júlio Baptista | 10 | 32 | 16
EDGE Marcelo | Arjen Robben | 10 | 32 | 16
EDGE Marcelo | Gabriel Heinze | 12 | 32 | 23
EDGE Marcelo | Javier Saviola | 3 | 32 | 7
EDGE Marcelo | Christoph Metzelder | 8 | 32 | 11
EDGE Marcelo | Gonzalo Higuaín | 9 | 32 | 12
EDGE Marcelo | Jerzy Dudek | 3 | 32 | 5
EDGE Marcelo | Javier Balboa | 1 | 32 | 2
EDGE Marcelo | Roberto Soldado | 1 | 32 | 2
EDGE Marcelo | Jordi Codina | 1 | 32 | 1
EDGE Fernando Gago | Júlio Baptista | 9 | 32 | 16
EDGE Fernando Gago | Arjen Robben | 14 | 32 | 16
EDGE Fernando Gago | Gabriel Heinze | 15 | 32 | 23
EDGE Fernando Gago | Javier Saviola | 5 | 32 | 7
EDGE Fernando Gago | Christoph Metzelder | 7 | 32 | 11
EDGE Fernando Gago | Jerzy Dudek | 4 | 32 | 5
EDGE Fernando Gago | Gonzalo Higuaín | 8 | 32 | 12
EDGE Fernando Gago | Javier Balboa | 2 | 32 | 2
EDGE Fernando Gago | Roberto Soldado | 1 | 32 | 2
EDGE Júlio Baptista | Arjen Robben | 4 | 16 | 16
EDGE Júlio Baptista | Gabriel Heinze | 6 | 16 | 23
EDGE Júlio Baptista | Gonzalo Higuaín | 2 | 16 | 12
EDGE Júlio Baptista | Jerzy Dudek | 1 | 16 | 5
EDGE Júlio Baptista | Javier Saviola | 1 | 16 | 7
EDGE Arjen Robben | Gabriel Heinze | 13 | 16 | 23
EDGE Arjen Robben | Jerzy Dudek | 2 | 16 | 5
EDGE Arjen Robben | Javier Balboa | 1 | 16 | 2
EDGE Arjen Robben | Roberto Soldado | 1 | 16 | 2
EDGE Arjen Robben | Gonzalo Higuaín | 4 | 16 | 12
EDGE Arjen Robben | Javier Saviola | 2 | 16 | 7
EDGE Arjen Robben | Christoph Metzelder | 1 | 16 | 11
EDGE Gabriel Heinze | Javier Saviola | 5 | 23 | 7
EDGE Gabriel Heinze | Gonzalo Higuaín | 6 | 23 | 12
EDGE Gabriel Heinze | Jerzy Dudek | 2 | 23 | 5
EDGE Gabriel Heinze | Javier Balboa | 1 | 23 | 2
EDGE Gabriel Heinze | Roberto Soldado | 2 | 23 | 2
EDGE Gabriel Heinze | Christoph Metzelder | 2 | 23 | 11
EDGE Javier Saviola | Gonzalo Higuaín | 4 | 7 | 12
EDGE Javier Saviola | Christoph Metzelder | 3 | 7 | 11
EDGE Javier Saviola | Jerzy Dudek | 2 | 7 | 5
EDGE Christoph Metzelder | Gonzalo Higuaín | 5 | 11 | 12
EDGE Christoph Metzelder | Jerzy Dudek | 2 | 11 | 5
EDGE Jerzy Dudek | Gonzalo Higuaín | 5 | 5 | 12
EDGE Jerzy Dudek | Javier Balboa | 1 | 5 | 2
EDGE Jerzy Dudek | Roberto Soldado | 1 | 5 | 2
EDGE Gonzalo Higuaín | Javier Balboa | 1 | 12 | 2
EDGE Gonzalo Higuaín | Roberto Soldado | 1 | 12 | 2
EDGE Javier Balboa | Roberto Soldado | 1 | 2 | 2
