# Graph for Java/GraphStream
# Nodes: 28
# Edges: 302

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Denis Suárez | Ilias Akhomach | 1 | 8 | 7
EDGE Gerard Moreno | Thierno Barry | 3 | 7 | 26
EDGE Gerard Moreno | Kiko Femenía | 6 | 7 | 27
EDGE Gerard Moreno | Raúl Albiol | 3 | 7 | 14
EDGE Gerard Moreno | Eric Bailly | 3 | 7 | 8
EDGE Gerard Moreno | Arnaut Danjuma | 2 | 7 | 3
EDGE Thierno Barry | Kiko Femenía | 20 | 26 | 27
EDGE Thierno Barry | Raúl Albiol | 10 | 26 | 14
EDGE Thierno Barry | Ilias Akhomach | 5 | 26 | 7
EDGE Thierno Barry | Eric Bailly | 3 | 26 | 8
EDGE Thierno Barry | Alfonso Pedraza | 3 | 26 | 4
EDGE Kiko Femenía | Raúl Albiol | 13 | 27 | 14
EDGE Kiko Femenía | Ilias Akhomach | 7 | 27 | 7
EDGE Kiko Femenía | Eric Bailly | 8 | 27 | 8
EDGE Kiko Femenía | Alfonso Pedraza | 2 | 27 | 4
EDGE Kiko Femenía | Arnaut Danjuma | 3 | 27 | 3
EDGE Raúl Albiol | Ilias Akhomach | 5 | 14 | 7
EDGE Raúl Albiol | Eric Bailly | 4 | 14 | 8
EDGE Raúl Albiol | Arnaut Danjuma | 2 | 14 | 3
EDGE Ilias Akhomach | Eric Bailly | 3 | 7 | 8
EDGE Ilias Akhomach | Arnaut Danjuma | 1 | 7 | 3
EDGE Eric Bailly | Alfonso Pedraza | 1 | 8 | 4
EDGE Eric Bailly | Arnaut Danjuma | 3 | 8 | 3
