# Graph for Java/GraphStream
# Nodes: 27
# Edges: 284

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Agüero | José Manuel Jurado | 1 | 39 | 1
EDGE Álvaro Domínguez | Paulo Assunção | 15 | 26 | 26
EDGE Álvaro Domínguez | Raúl García | 16 | 26 | 27
EDGE Álvaro Domínguez | Diego Costa | 7 | 26 | 19
EDGE Álvaro Domínguez | Antonio López | 9 | 26 | 20
EDGE Álvaro Domínguez | Juan Valera | 5 | 26 | 15
EDGE Álvaro Domínguez | Ignacio Camacho | 1 | 26 | 3
EDGE Álvaro Domínguez | Fran Mérida | 2 | 26 | 10
EDGE Álvaro Domínguez | Koke | 4 | 26 | 9
EDGE Álvaro Domínguez | Juanfran Torres | 3 | 26 | 6
EDGE Álvaro Domínguez | Jorge Pulido | 1 | 26 | 3
EDGE Álvaro Domínguez | Elias | 4 | 26 | 11
EDGE Paulo Assunção | Raúl García | 16 | 26 | 27
EDGE Paulo Assunção | Diego Costa | 11 | 26 | 19
EDGE Paulo Assunção | Antonio López | 9 | 26 | 20
EDGE Paulo Assunção | Juan Valera | 7 | 26 | 15
EDGE Paulo Assunção | Fran Mérida | 6 | 26 | 10
EDGE Paulo Assunção | Elias | 4 | 26 | 11
EDGE Paulo Assunção | Juanfran Torres | 2 | 26 | 6
EDGE Paulo Assunção | Joel Robles | 1 | 26 | 2
EDGE Paulo Assunção | José Manuel Jurado | 1 | 26 | 1
EDGE Raúl García | Diego Costa | 13 | 27 | 19
EDGE Raúl García | Antonio López | 14 | 27 | 20
EDGE Raúl García | Juan Valera | 5 | 27 | 15
EDGE Raúl García | Fran Mérida | 5 | 27 | 10
EDGE Raúl García | Koke | 4 | 27 | 9
EDGE Raúl García | Juanfran Torres | 4 | 27 | 6
EDGE Raúl García | Ignacio Camacho | 3 | 27 | 3
EDGE Raúl García | Elias | 3 | 27 | 11
EDGE Raúl García | Joel Robles | 1 | 27 | 2
EDGE Raúl García | Juanito | 1 | 27 | 1
EDGE Raúl García | Jorge Pulido | 1 | 27 | 3
EDGE Raúl García | Alberto Perea | 1 | 27 | 1
EDGE Raúl García | José Manuel Jurado | 1 | 27 | 1
EDGE Diego Costa | Antonio López | 6 | 19 | 20
EDGE Diego Costa | Koke | 3 | 19 | 9
EDGE Diego Costa | Juanfran Torres | 3 | 19 | 6
EDGE Diego Costa | Elias | 4 | 19 | 11
EDGE Diego Costa | Juan Valera | 3 | 19 | 15
EDGE Diego Costa | Fran Mérida | 4 | 19 | 10
EDGE Diego Costa | Ignacio Camacho | 2 | 19 | 3
EDGE Diego Costa | Joel Robles | 2 | 19 | 2
EDGE Diego Costa | Juanito | 1 | 19 | 1
EDGE Diego Costa | Jorge Pulido | 1 | 19 | 3
EDGE Diego Costa | Alberto Perea | 1 | 19 | 1
EDGE Antonio López | Juan Valera | 7 | 20 | 15
EDGE Antonio López | Fran Mérida | 7 | 20 | 10
EDGE Antonio López | Elias | 3 | 20 | 11
EDGE Antonio López | Koke | 5 | 20 | 9
EDGE Antonio López | Juanfran Torres | 2 | 20 | 6
EDGE Antonio López | Ignacio Camacho | 3 | 20 | 3
EDGE Antonio López | Joel Robles | 1 | 20 | 2
EDGE Antonio López | Juanito | 1 | 20 | 1
EDGE Antonio López | Jorge Pulido | 1 | 20 | 3
EDGE Antonio López | Alberto Perea | 1 | 20 | 1
EDGE Antonio López | José Manuel Jurado | 1 | 20 | 1
