# Graph for Java/GraphStream
# Nodes: 28
# Edges: 293

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Igor Gabilondo | David López | 6 | 21 | 10
EDGE Igor Gabilondo | Joseba Etxeberria | 4 | 21 | 7
EDGE Igor Gabilondo | Xabier Etxebarria | 1 | 21 | 1
EDGE Igor Gabilondo | Koikili | 8 | 21 | 24
EDGE Igor Gabilondo | Iñigo Díaz de Cerio | 1 | 21 | 2
EDGE Igor Gabilondo | Aitor Ocio | 3 | 21 | 10
EDGE Igor Gabilondo | Ander Iturraspe | 6 | 21 | 12
EDGE Igor Gabilondo | Fran Yeste | 3 | 21 | 24
EDGE Igor Gabilondo | Markel Susaeta | 10 | 21 | 33
EDGE Igor Gabilondo | Óscar de Marcos | 4 | 21 | 15
EDGE David López | Joseba Etxeberria | 3 | 10 | 7
EDGE David López | Xabier Etxebarria | 1 | 10 | 1
EDGE David López | Koikili | 8 | 10 | 24
EDGE David López | Iñigo Díaz de Cerio | 1 | 10 | 2
EDGE David López | Ander Iturraspe | 2 | 10 | 12
EDGE David López | Markel Susaeta | 5 | 10 | 33
EDGE David López | Armando Ribeiro | 1 | 10 | 3
EDGE David López | Xabi Etxeita | 1 | 10 | 3
EDGE David López | Iñigo Pérez | 1 | 10 | 1
EDGE David López | Fran Yeste | 1 | 10 | 24
EDGE Joseba Etxeberria | Aitor Ocio | 2 | 7 | 10
EDGE Joseba Etxeberria | Fran Yeste | 3 | 7 | 24
EDGE Joseba Etxeberria | Markel Susaeta | 4 | 7 | 33
EDGE Joseba Etxeberria | Xabier Etxebarria | 1 | 7 | 1
EDGE Joseba Etxeberria | Koikili | 3 | 7 | 24
EDGE Joseba Etxeberria | Iñigo Díaz de Cerio | 1 | 7 | 2
EDGE Joseba Etxeberria | Ander Iturraspe | 2 | 7 | 12
EDGE Joseba Etxeberria | Armando Ribeiro | 2 | 7 | 3
EDGE Joseba Etxeberria | Xabi Etxeita | 1 | 7 | 3
EDGE Joseba Etxeberria | Iñigo Pérez | 1 | 7 | 1
EDGE Aitor Ocio | Fran Yeste | 9 | 10 | 24
EDGE Aitor Ocio | Markel Susaeta | 9 | 10 | 33
EDGE Aitor Ocio | Óscar de Marcos | 5 | 10 | 15
EDGE Aitor Ocio | Koikili | 2 | 10 | 24
EDGE Aitor Ocio | Ander Iturraspe | 1 | 10 | 12
EDGE Fran Yeste | Markel Susaeta | 16 | 24 | 33
EDGE Fran Yeste | Koikili | 9 | 24 | 24
EDGE Fran Yeste | Óscar de Marcos | 6 | 24 | 15
EDGE Fran Yeste | Ander Iturraspe | 5 | 24 | 12
EDGE Fran Yeste | Jon Aurtenetxe | 1 | 24 | 1
EDGE Fran Yeste | Xabi Etxeita | 1 | 24 | 3
EDGE Fran Yeste | Iñigo Díaz de Cerio | 1 | 24 | 2
EDGE Markel Susaeta | Koikili | 15 | 33 | 24
EDGE Markel Susaeta | Óscar de Marcos | 10 | 33 | 15
EDGE Markel Susaeta | Ander Iturraspe | 4 | 33 | 12
EDGE Markel Susaeta | Ion Vélez | 1 | 33 | 1
EDGE Markel Susaeta | Armando Ribeiro | 2 | 33 | 3
EDGE Markel Susaeta | Xabi Etxeita | 2 | 33 | 3
EDGE Markel Susaeta | Jon Aurtenetxe | 1 | 33 | 1
EDGE Markel Susaeta | Iñigo Díaz de Cerio | 1 | 33 | 2
EDGE Koikili | Xabier Etxebarria | 1 | 24 | 1
EDGE Koikili | Iñigo Díaz de Cerio | 1 | 24 | 2
EDGE Koikili | Óscar de Marcos | 5 | 24 | 15
EDGE Koikili | Ander Iturraspe | 6 | 24 | 12
EDGE Koikili | Armando Ribeiro | 3 | 24 | 3
EDGE Koikili | Xabi Etxeita | 2 | 24 | 3
EDGE Koikili | Iñigo Pérez | 1 | 24 | 1
EDGE Óscar de Marcos | Ion Vélez | 1 | 15 | 1
EDGE Óscar de Marcos | Ander Iturraspe | 2 | 15 | 12
EDGE Óscar de Marcos | Xabi Etxeita | 1 | 15 | 3
EDGE Óscar de Marcos | Armando Ribeiro | 1 | 15 | 3
EDGE Xabier Etxebarria | Iñigo Díaz de Cerio | 1 | 1 | 2
EDGE Iñigo Díaz de Cerio | Jon Aurtenetxe | 1 | 2 | 1
EDGE Iñigo Díaz de Cerio | Xabi Etxeita | 1 | 2 | 3
EDGE Ander Iturraspe | Armando Ribeiro | 1 | 12 | 3
EDGE Armando Ribeiro | Xabi Etxeita | 1 | 3 | 3
EDGE Armando Ribeiro | Iñigo Pérez | 1 | 3 | 1
EDGE Xabi Etxeita | Iñigo Pérez | 1 | 3 | 1
EDGE Xabi Etxeita | Jon Aurtenetxe | 1 | 3 | 1
