# Graph for Java/GraphStream
# Nodes: 25
# Edges: 279

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iñaki Peña | Fermín López | 4 | 17 | 19
EDGE Iñaki Peña | Marc Guiu | 1 | 17 | 2
EDGE Alejandro Balde | Oriol Romeu | 10 | 22 | 17
EDGE Alejandro Balde | Ferran Torres | 13 | 22 | 20
EDGE Alejandro Balde | Gavi | 11 | 22 | 13
EDGE Alejandro Balde | João Félix | 12 | 22 | 24
EDGE Alejandro Balde | Fermín López | 7 | 22 | 19
EDGE Alejandro Balde | Sergi Roberto | 7 | 22 | 15
EDGE Alejandro Balde | Marc Guiu | 1 | 22 | 2
EDGE Alejandro Balde | Héctor Fort | 1 | 22 | 6
EDGE Oriol Romeu | Ferran Torres | 11 | 17 | 20
EDGE Oriol Romeu | Gavi | 8 | 17 | 13
EDGE Oriol Romeu | João Félix | 10 | 17 | 24
EDGE Oriol Romeu | Héctor Fort | 4 | 17 | 6
EDGE Oriol Romeu | Fermín López | 6 | 17 | 19
EDGE Oriol Romeu | Sergi Roberto | 5 | 17 | 15
EDGE Oriol Romeu | Marc Guiu | 1 | 17 | 2
EDGE Oriol Romeu | Marcos Alonso | 5 | 17 | 5
EDGE Oriol Romeu | Vitor Roque | 1 | 17 | 2
EDGE Ferran Torres | Gavi | 6 | 20 | 13
EDGE Ferran Torres | João Félix | 10 | 20 | 24
EDGE Ferran Torres | Fermín López | 9 | 20 | 19
EDGE Ferran Torres | Sergi Roberto | 7 | 20 | 15
EDGE Ferran Torres | Marc Guiu | 1 | 20 | 2
EDGE Ferran Torres | Héctor Fort | 4 | 20 | 6
EDGE Ferran Torres | Marcos Alonso | 4 | 20 | 5
EDGE Ferran Torres | Vitor Roque | 1 | 20 | 2
EDGE Gavi | João Félix | 9 | 13 | 24
EDGE Gavi | Fermín López | 4 | 13 | 19
EDGE Gavi | Marcos Alonso | 2 | 13 | 5
EDGE Gavi | Sergi Roberto | 2 | 13 | 15
EDGE Fermín López | João Félix | 11 | 19 | 24
EDGE Fermín López | Sergi Roberto | 9 | 19 | 15
EDGE Fermín López | Marc Guiu | 1 | 19 | 2
EDGE Fermín López | Héctor Fort | 5 | 19 | 6
EDGE Fermín López | Marcos Alonso | 2 | 19 | 5
EDGE Fermín López | Vitor Roque | 1 | 19 | 2
EDGE João Félix | Héctor Fort | 4 | 24 | 6
EDGE João Félix | Sergi Roberto | 4 | 24 | 15
EDGE João Félix | Marc Guiu | 2 | 24 | 2
EDGE João Félix | Marcos Alonso | 3 | 24 | 5
EDGE João Félix | Vitor Roque | 1 | 24 | 2
EDGE Sergi Roberto | Marc Guiu | 1 | 15 | 2
EDGE Sergi Roberto | Héctor Fort | 4 | 15 | 6
EDGE Sergi Roberto | Marcos Alonso | 2 | 15 | 5
EDGE Sergi Roberto | Vitor Roque | 1 | 15 | 2
EDGE Héctor Fort | Marcos Alonso | 1 | 6 | 5
EDGE Héctor Fort | Vitor Roque | 1 | 6 | 2
EDGE Vitor Roque | Marcos Alonso | 1 | 2 | 5
