# Graph for Java/GraphStream
# Nodes: 27
# Edges: 272

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Sergio Busquets | Claudio Bravo | 3 | 47 | 3
EDGE Sergio Busquets | Lucas Digne | 14 | 47 | 20
EDGE Sergio Busquets | Denis Suárez | 11 | 47 | 18
EDGE Sergio Busquets | Munir El Haddadi | 1 | 47 | 1
EDGE Sergio Busquets | Paco Alcácer | 7 | 47 | 11
EDGE Sergio Busquets | Jérémy Mathieu | 10 | 47 | 14
EDGE Sergio Busquets | Marlon | 2 | 47 | 2
EDGE Rafinha | Arda Turan | 8 | 18 | 20
EDGE Rafinha | Andrés Iniesta | 5 | 18 | 25
EDGE Rafinha | Lucas Digne | 7 | 18 | 20
EDGE Rafinha | Denis Suárez | 5 | 18 | 18
EDGE Rafinha | Paco Alcácer | 4 | 18 | 11
EDGE Rafinha | Jérémy Mathieu | 7 | 18 | 14
EDGE Rafinha | Borja López | 1 | 18 | 1
EDGE Rafinha | Àlex Carbonell | 1 | 18 | 1
EDGE Rafinha | Carles Aleñá | 1 | 18 | 1
EDGE Arda Turan | Claudio Bravo | 3 | 20 | 3
EDGE Arda Turan | Lucas Digne | 10 | 20 | 20
EDGE Arda Turan | Denis Suárez | 12 | 20 | 18
EDGE Arda Turan | Munir El Haddadi | 1 | 20 | 1
EDGE Arda Turan | Paco Alcácer | 7 | 20 | 11
EDGE Arda Turan | Andrés Iniesta | 3 | 20 | 25
EDGE Arda Turan | Jérémy Mathieu | 8 | 20 | 14
EDGE Arda Turan | Borja López | 1 | 20 | 1
EDGE Arda Turan | Àlex Carbonell | 1 | 20 | 1
EDGE Arda Turan | Carles Aleñá | 1 | 20 | 1
EDGE Andrés Iniesta | Marlon | 2 | 25 | 2
EDGE Andrés Iniesta | Lucas Digne | 6 | 25 | 20
EDGE Andrés Iniesta | Denis Suárez | 2 | 25 | 18
EDGE Andrés Iniesta | Paco Alcácer | 4 | 25 | 11
EDGE Andrés Iniesta | Claudio Bravo | 1 | 25 | 3
EDGE Andrés Iniesta | Jérémy Mathieu | 3 | 25 | 14
EDGE Claudio Bravo | Lucas Digne | 1 | 3 | 20
EDGE Claudio Bravo | Denis Suárez | 2 | 3 | 18
EDGE Claudio Bravo | Munir El Haddadi | 1 | 3 | 1
EDGE Claudio Bravo | Jérémy Mathieu | 1 | 3 | 14
EDGE Lucas Digne | Denis Suárez | 10 | 20 | 18
EDGE Lucas Digne | Munir El Haddadi | 1 | 20 | 1
EDGE Lucas Digne | Paco Alcácer | 6 | 20 | 11
EDGE Lucas Digne | Marlon | 1 | 20 | 2
EDGE Lucas Digne | Jérémy Mathieu | 6 | 20 | 14
EDGE Lucas Digne | Borja López | 1 | 20 | 1
EDGE Lucas Digne | Àlex Carbonell | 1 | 20 | 1
EDGE Lucas Digne | Carles Aleñá | 1 | 20 | 1
EDGE Denis Suárez | Munir El Haddadi | 1 | 18 | 1
EDGE Denis Suárez | Paco Alcácer | 6 | 18 | 11
EDGE Denis Suárez | Jérémy Mathieu | 3 | 18 | 14
EDGE Denis Suárez | Borja López | 1 | 18 | 1
EDGE Denis Suárez | Àlex Carbonell | 1 | 18 | 1
EDGE Denis Suárez | Carles Aleñá | 1 | 18 | 1
EDGE Paco Alcácer | Jérémy Mathieu | 2 | 11 | 14
EDGE Paco Alcácer | Borja López | 1 | 11 | 1
EDGE Paco Alcácer | Àlex Carbonell | 1 | 11 | 1
EDGE Paco Alcácer | Carles Aleñá | 1 | 11 | 1
EDGE Borja López | Àlex Carbonell | 1 | 1 | 1
EDGE Borja López | Carles Aleñá | 1 | 1 | 1
EDGE Àlex Carbonell | Carles Aleñá | 1 | 1 | 1
