# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Beñat Prados | Adu Ares | 4 | 23 | 5
EDGE Beñat Prados | Unai Gómez | 7 | 23 | 11
EDGE Beñat Prados | Asier Villalibre | 3 | 23 | 7
EDGE Beñat Prados | Julen Agirrezabala | 9 | 23 | 10
EDGE Beñat Prados | Peru Nolaskoain | 2 | 23 | 2
EDGE Beñat Prados | Raúl García | 3 | 23 | 3
EDGE Beñat Prados | Iker Muniain | 4 | 23 | 9
EDGE Beñat Prados | Unai Egiluz | 1 | 23 | 1
EDGE Adu Ares | Unai Gómez | 4 | 5 | 11
EDGE Adu Ares | Asier Villalibre | 3 | 5 | 7
EDGE Adu Ares | Julen Agirrezabala | 3 | 5 | 10
EDGE Adu Ares | Peru Nolaskoain | 2 | 5 | 2
EDGE Adu Ares | Raúl García | 2 | 5 | 3
EDGE Adu Ares | Iker Muniain | 2 | 5 | 9
EDGE Adu Ares | Unai Egiluz | 1 | 5 | 1
EDGE Unai Gómez | Asier Villalibre | 4 | 11 | 7
EDGE Unai Gómez | Julen Agirrezabala | 2 | 11 | 10
EDGE Unai Gómez | Peru Nolaskoain | 2 | 11 | 2
EDGE Unai Gómez | Raúl García | 2 | 11 | 3
EDGE Unai Gómez | Iker Muniain | 3 | 11 | 9
EDGE Unai Gómez | Unai Egiluz | 1 | 11 | 1
EDGE Asier Villalibre | Julen Agirrezabala | 3 | 7 | 10
EDGE Asier Villalibre | Peru Nolaskoain | 1 | 7 | 2
EDGE Asier Villalibre | Raúl García | 1 | 7 | 3
EDGE Asier Villalibre | Iker Muniain | 3 | 7 | 9
EDGE Asier Villalibre | Mikel Jauregizar | 1 | 7 | 1
EDGE Julen Agirrezabala | Peru Nolaskoain | 2 | 10 | 2
EDGE Julen Agirrezabala | Raúl García | 3 | 10 | 3
EDGE Julen Agirrezabala | Iker Muniain | 5 | 10 | 9
EDGE Julen Agirrezabala | Unai Egiluz | 1 | 10 | 1
EDGE Peru Nolaskoain | Raúl García | 2 | 2 | 3
EDGE Peru Nolaskoain | Iker Muniain | 2 | 2 | 9
EDGE Peru Nolaskoain | Unai Egiluz | 1 | 2 | 1
EDGE Raúl García | Iker Muniain | 3 | 3 | 9
EDGE Raúl García | Unai Egiluz | 1 | 3 | 1
EDGE Iker Muniain | Unai Egiluz | 1 | 9 | 1
