# Graph for Java/GraphStream
# Nodes: 27
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Wesley Sneijder | Miguel Torres | 5 | 23 | 12
EDGE Wesley Sneijder | Klaas-Jan Huntelaar | 6 | 23 | 13
EDGE Wesley Sneijder | Guti | 6 | 23 | 19
EDGE Wesley Sneijder | Royston Drenthe | 7 | 23 | 9
EDGE Wesley Sneijder | Javier Saviola | 3 | 23 | 4
EDGE Wesley Sneijder | Lassana Diarra | 11 | 23 | 21
EDGE Wesley Sneijder | Míchel Salgado | 3 | 23 | 10
EDGE Wesley Sneijder | Jerzy Dudek | 1 | 23 | 3
EDGE Gonzalo Higuaín | Lassana Diarra | 16 | 37 | 21
EDGE Gonzalo Higuaín | Klaas-Jan Huntelaar | 8 | 37 | 13
EDGE Gonzalo Higuaín | Miguel Torres | 7 | 37 | 12
EDGE Gonzalo Higuaín | Christoph Metzelder | 9 | 37 | 11
EDGE Gonzalo Higuaín | Javi García | 2 | 37 | 4
EDGE Gonzalo Higuaín | Guti | 13 | 37 | 19
EDGE Gonzalo Higuaín | Míchel Salgado | 8 | 37 | 10
EDGE Gonzalo Higuaín | Royston Drenthe | 5 | 37 | 9
EDGE Gonzalo Higuaín | Gary Kagelmacher | 1 | 37 | 1
EDGE Gonzalo Higuaín | Jerzy Dudek | 2 | 37 | 3
EDGE Gonzalo Higuaín | Javier Saviola | 1 | 37 | 4
EDGE Lassana Diarra | Klaas-Jan Huntelaar | 11 | 21 | 13
EDGE Lassana Diarra | Miguel Torres | 5 | 21 | 12
EDGE Lassana Diarra | Christoph Metzelder | 4 | 21 | 11
EDGE Lassana Diarra | Gary Kagelmacher | 1 | 21 | 1
EDGE Lassana Diarra | Míchel Salgado | 1 | 21 | 10
EDGE Lassana Diarra | Javi García | 1 | 21 | 4
EDGE Lassana Diarra | Guti | 2 | 21 | 19
EDGE Klaas-Jan Huntelaar | Christoph Metzelder | 2 | 13 | 11
EDGE Klaas-Jan Huntelaar | Miguel Torres | 4 | 13 | 12
EDGE Klaas-Jan Huntelaar | Guti | 2 | 13 | 19
EDGE Klaas-Jan Huntelaar | Javi García | 1 | 13 | 4
EDGE Miguel Torres | Christoph Metzelder | 3 | 12 | 11
EDGE Miguel Torres | Guti | 5 | 12 | 19
EDGE Miguel Torres | Royston Drenthe | 3 | 12 | 9
EDGE Miguel Torres | Javier Saviola | 2 | 12 | 4
EDGE Miguel Torres | Gary Kagelmacher | 1 | 12 | 1
