# Graph for Java/GraphStream
# Nodes: 27
# Edges: 297

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Diego Forlán | Peter Luccin | 1 | 49 | 2
EDGE Diego Forlán | Ignacio Camacho | 9 | 49 | 9
EDGE Diego Forlán | Miguel de las Cuevas | 1 | 49 | 2
EDGE Christian Abbiati | Fabiano Eller | 19 | 29 | 24
EDGE Christian Abbiati | Mariano Pernía | 19 | 29 | 40
EDGE Christian Abbiati | Thiago Motta | 5 | 29 | 7
EDGE Christian Abbiati | Cléber Santana | 18 | 29 | 25
EDGE Christian Abbiati | Simão | 19 | 29 | 30
EDGE Christian Abbiati | José Antonio Reyes | 7 | 29 | 17
EDGE Christian Abbiati | Mista | 5 | 29 | 10
EDGE Christian Abbiati | José Manuel Jurado | 7 | 29 | 9
EDGE Christian Abbiati | Juan Valera | 4 | 29 | 11
EDGE Christian Abbiati | Ignacio Camacho | 4 | 29 | 9
EDGE Christian Abbiati | Georgios Seitaridis | 3 | 29 | 15
EDGE Christian Abbiati | Miguel de las Cuevas | 1 | 29 | 2
EDGE Fabiano Eller | Mariano Pernía | 14 | 24 | 40
EDGE Fabiano Eller | Thiago Motta | 5 | 24 | 7
EDGE Fabiano Eller | Cléber Santana | 15 | 24 | 25
EDGE Fabiano Eller | Simão | 11 | 24 | 30
EDGE Fabiano Eller | José Manuel Jurado | 6 | 24 | 9
EDGE Fabiano Eller | Mista | 6 | 24 | 10
EDGE Fabiano Eller | José Antonio Reyes | 7 | 24 | 17
EDGE Fabiano Eller | Ismael Falcón | 2 | 24 | 6
EDGE Fabiano Eller | Juan Valera | 4 | 24 | 11
EDGE Fabiano Eller | Georgios Seitaridis | 3 | 24 | 15
EDGE Fabiano Eller | Peter Luccin | 1 | 24 | 2
EDGE Fabiano Eller | Martin Petrov | 1 | 24 | 1
EDGE Fabiano Eller | Ignacio Camacho | 1 | 24 | 9
EDGE Fabiano Eller | Miguel de las Cuevas | 1 | 24 | 2
EDGE Mariano Pernía | Thiago Motta | 6 | 40 | 7
EDGE Mariano Pernía | Cléber Santana | 15 | 40 | 25
EDGE Mariano Pernía | Georgios Seitaridis | 10 | 40 | 15
EDGE Mariano Pernía | Simão | 20 | 40 | 30
EDGE Mariano Pernía | José Antonio Reyes | 13 | 40 | 17
EDGE Mariano Pernía | Mista | 5 | 40 | 10
EDGE Mariano Pernía | José Manuel Jurado | 7 | 40 | 9
EDGE Mariano Pernía | Ismael Falcón | 4 | 40 | 6
EDGE Mariano Pernía | Juan Valera | 6 | 40 | 11
EDGE Mariano Pernía | Peter Luccin | 1 | 40 | 2
EDGE Mariano Pernía | Ignacio Camacho | 8 | 40 | 9
EDGE Mariano Pernía | Miguel de las Cuevas | 1 | 40 | 2
EDGE Thiago Motta | Cléber Santana | 4 | 7 | 25
EDGE Thiago Motta | Ismael Falcón | 2 | 7 | 6
EDGE Thiago Motta | Juan Valera | 3 | 7 | 11
EDGE Thiago Motta | José Antonio Reyes | 2 | 7 | 17
EDGE Thiago Motta | Simão | 3 | 7 | 30
EDGE Thiago Motta | Mista | 2 | 7 | 10
EDGE Cléber Santana | Simão | 13 | 25 | 30
EDGE Cléber Santana | José Antonio Reyes | 9 | 25 | 17
EDGE Cléber Santana | Mista | 9 | 25 | 10
EDGE Cléber Santana | José Manuel Jurado | 6 | 25 | 9
EDGE Cléber Santana | Juan Valera | 8 | 25 | 11
EDGE Cléber Santana | Ismael Falcón | 5 | 25 | 6
EDGE Cléber Santana | Georgios Seitaridis | 3 | 25 | 15
EDGE Cléber Santana | Miguel de las Cuevas | 2 | 25 | 2
EDGE Georgios Seitaridis | Simão | 11 | 15 | 30
EDGE Georgios Seitaridis | José Antonio Reyes | 6 | 15 | 17
EDGE Georgios Seitaridis | Peter Luccin | 2 | 15 | 2
EDGE Georgios Seitaridis | José Manuel Jurado | 1 | 15 | 9
EDGE Georgios Seitaridis | Martin Petrov | 1 | 15 | 1
EDGE Georgios Seitaridis | Mista | 2 | 15 | 10
EDGE Georgios Seitaridis | Juan Valera | 1 | 15 | 11
EDGE Georgios Seitaridis | Miguel de las Cuevas | 1 | 15 | 2
EDGE Simão | José Antonio Reyes | 7 | 30 | 17
EDGE Simão | Mista | 3 | 30 | 10
EDGE Simão | Juan Valera | 5 | 30 | 11
EDGE Simão | Ignacio Camacho | 4 | 30 | 9
EDGE Simão | José Manuel Jurado | 2 | 30 | 9
EDGE Simão | Miguel de las Cuevas | 1 | 30 | 2
EDGE Simão | Ismael Falcón | 1 | 30 | 6
EDGE José Antonio Reyes | Mista | 5 | 17 | 10
EDGE José Antonio Reyes | José Manuel Jurado | 3 | 17 | 9
EDGE José Antonio Reyes | Ismael Falcón | 4 | 17 | 6
EDGE José Antonio Reyes | Juan Valera | 6 | 17 | 11
EDGE José Antonio Reyes | Miguel de las Cuevas | 1 | 17 | 2
EDGE Mista | José Manuel Jurado | 2 | 10 | 9
EDGE Mista | Peter Luccin | 1 | 10 | 2
EDGE Mista | Martin Petrov | 1 | 10 | 1
EDGE Mista | Ismael Falcón | 4 | 10 | 6
EDGE Mista | Juan Valera | 6 | 10 | 11
EDGE Mista | Miguel de las Cuevas | 2 | 10 | 2
EDGE José Manuel Jurado | Peter Luccin | 1 | 9 | 2
EDGE José Manuel Jurado | Ismael Falcón | 1 | 9 | 6
EDGE José Manuel Jurado | Juan Valera | 1 | 9 | 11
EDGE José Manuel Jurado | Miguel de las Cuevas | 1 | 9 | 2
EDGE Ismael Falcón | Juan Valera | 6 | 6 | 11
EDGE Ismael Falcón | Miguel de las Cuevas | 1 | 6 | 2
EDGE Juan Valera | Ignacio Camacho | 1 | 11 | 9
EDGE Juan Valera | Miguel de las Cuevas | 2 | 11 | 2
EDGE Peter Luccin | Martin Petrov | 1 | 2 | 1
