# Graph for Java/GraphStream
# Nodes: 25
# Edges: 252

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Juan Carlos | Jérémy Perbet | 4 | 7 | 16
EDGE Aleksandar Pantic | Moi Gómez | 5 | 10 | 17
EDGE Aleksandar Pantic | Jérémy Perbet | 9 | 10 | 16
EDGE Aleksandar Pantic | Joan Román | 1 | 10 | 1
EDGE Aleksandar Pantic | Matías Nahuel | 1 | 10 | 2
EDGE Moi Gómez | Jérémy Perbet | 8 | 17 | 16
EDGE Moi Gómez | Matías Nahuel | 2 | 17 | 2
EDGE Moi Gómez | Edu Ramos | 1 | 17 | 2
EDGE Jérémy Perbet | Matías Nahuel | 2 | 16 | 2
EDGE Jérémy Perbet | Joan Román | 1 | 16 | 1
EDGE Jérémy Perbet | Pablo Iñiguez | 2 | 16 | 3
