# Graph for Java/GraphStream
# Nodes: 31
# Edges: 335

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Moi Gómez | Héctor Canteros | 1 | 17 | 10
EDGE Moi Gómez | Gerard Moreno | 1 | 17 | 8
EDGE Jérémy Perbet | Jonathan Pereira | 5 | 15 | 11
EDGE Jérémy Perbet | Olof Mellberg | 7 | 15 | 26
EDGE Jérémy Perbet | Jaume Costa | 10 | 15 | 25
EDGE Jérémy Perbet | Héctor Canteros | 8 | 15 | 10
EDGE Jérémy Perbet | Javier Aquino | 8 | 15 | 10
EDGE Jérémy Perbet | Ikechukwu Uche | 8 | 15 | 23
EDGE Jérémy Perbet | Gerard Moreno | 4 | 15 | 8
EDGE Jérémy Perbet | Juanma | 1 | 15 | 1
EDGE Jérémy Perbet | Marcos Senna | 3 | 15 | 25
EDGE Jérémy Perbet | Pablo Iñiguez | 2 | 15 | 6
EDGE Jérémy Perbet | Manu Trigueros | 1 | 15 | 21
EDGE Jonathan Pereira | Jaume Costa | 6 | 11 | 25
EDGE Jonathan Pereira | Javier Aquino | 2 | 11 | 10
EDGE Jonathan Pereira | Ikechukwu Uche | 4 | 11 | 23
EDGE Jonathan Pereira | Olof Mellberg | 5 | 11 | 26
EDGE Jonathan Pereira | Marcos Senna | 6 | 11 | 25
EDGE Jonathan Pereira | Manu Trigueros | 5 | 11 | 21
EDGE Jonathan Pereira | Gerard Moreno | 3 | 11 | 8
EDGE Jonathan Pereira | Héctor Canteros | 1 | 11 | 10
EDGE Jonathan Pereira | Juanma | 1 | 11 | 1
EDGE Jonathan Pereira | Pablo Iñiguez | 2 | 11 | 6
EDGE Jonathan Pereira | Javi Venta | 2 | 11 | 16
EDGE Jonathan Pereira | Fernando Cavenaghi | 1 | 11 | 16
EDGE Diego Mariño | Javi Venta | 9 | 10 | 16
EDGE Diego Mariño | Marcos Senna | 8 | 10 | 25
EDGE Diego Mariño | Manu Trigueros | 7 | 10 | 21
EDGE Diego Mariño | Jaume Costa | 6 | 10 | 25
EDGE Diego Mariño | Ikechukwu Uche | 7 | 10 | 23
EDGE Diego Mariño | Hernán Pérez | 3 | 10 | 8
EDGE Diego Mariño | Olof Mellberg | 5 | 10 | 26
EDGE Diego Mariño | Walter Pandiani | 4 | 10 | 4
EDGE Diego Mariño | Guillem Truyols | 2 | 10 | 2
EDGE Diego Mariño | Dani Toribio | 2 | 10 | 3
EDGE Diego Mariño | Fernando Cavenaghi | 4 | 10 | 16
EDGE Diego Mariño | Florian Lejeune | 1 | 10 | 2
EDGE Diego Mariño | Pablo Iñiguez | 1 | 10 | 6
EDGE Javi Venta | Marcos Senna | 14 | 16 | 25
EDGE Javi Venta | Manu Trigueros | 12 | 16 | 21
EDGE Javi Venta | Jaume Costa | 8 | 16 | 25
EDGE Javi Venta | Ikechukwu Uche | 11 | 16 | 23
EDGE Javi Venta | Hernán Pérez | 4 | 16 | 8
EDGE Javi Venta | Olof Mellberg | 11 | 16 | 26
EDGE Javi Venta | Walter Pandiani | 4 | 16 | 4
EDGE Javi Venta | Guillem Truyols | 2 | 16 | 2
EDGE Javi Venta | Dani Toribio | 2 | 16 | 3
EDGE Javi Venta | Fernando Cavenaghi | 9 | 16 | 16
EDGE Javi Venta | Pablo Iñiguez | 3 | 16 | 6
EDGE Javi Venta | Jorge Palatsí | 1 | 16 | 1
EDGE Javi Venta | Gerard Moreno | 1 | 16 | 8
EDGE Marcos Senna | Manu Trigueros | 19 | 25 | 21
EDGE Marcos Senna | Jaume Costa | 12 | 25 | 25
EDGE Marcos Senna | Ikechukwu Uche | 13 | 25 | 23
EDGE Marcos Senna | Hernán Pérez | 6 | 25 | 8
EDGE Marcos Senna | Olof Mellberg | 18 | 25 | 26
EDGE Marcos Senna | Fernando Cavenaghi | 13 | 25 | 16
EDGE Marcos Senna | Walter Pandiani | 3 | 25 | 4
EDGE Marcos Senna | Florian Lejeune | 2 | 25 | 2
EDGE Marcos Senna | Dani Toribio | 2 | 25 | 3
EDGE Marcos Senna | Gerard Moreno | 3 | 25 | 8
EDGE Marcos Senna | Guillem Truyols | 1 | 25 | 2
EDGE Marcos Senna | Pablo Iñiguez | 3 | 25 | 6
EDGE Marcos Senna | Héctor Canteros | 1 | 25 | 10
EDGE Marcos Senna | Gerard Bordas | 1 | 25 | 2
EDGE Marcos Senna | Jorge Palatsí | 1 | 25 | 1
EDGE Manu Trigueros | Jaume Costa | 9 | 21 | 25
