# Graph for Java/GraphStream
# Nodes: 27
# Edges: 277

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Cani | Marcos Gullón | 1 | 40 | 1
EDGE Cani | Juan Carlos | 4 | 40 | 6
EDGE Cani | Jefferson Montero | 3 | 40 | 5
EDGE Cani | Javier Matilla | 5 | 40 | 9
EDGE Cani | Kiko Olivas | 1 | 40 | 3
EDGE Cani | Cicinho | 1 | 40 | 1
EDGE Jozy Altidore | Juan Carlos | 3 | 7 | 6
EDGE Jozy Altidore | Mario Gaspar | 4 | 7 | 34
EDGE Jozy Altidore | José Manuel Catalá | 4 | 7 | 22
EDGE Jozy Altidore | Joan Oriol | 4 | 7 | 5
EDGE Jozy Altidore | Javier Matilla | 3 | 7 | 9
EDGE Jozy Altidore | Cristóbal Márquez | 2 | 7 | 3
EDGE Jozy Altidore | Jefferson Montero | 5 | 7 | 5
EDGE Jozy Altidore | Marco Ruben | 2 | 7 | 23
EDGE Jozy Altidore | Kiko Olivas | 1 | 7 | 3
EDGE Jozy Altidore | Cicinho | 1 | 7 | 1
EDGE José Manuel Catalá | Marco Ruben | 14 | 22 | 23
EDGE José Manuel Catalá | Mario Gaspar | 16 | 22 | 34
EDGE José Manuel Catalá | Juan Carlos | 5 | 22 | 6
EDGE José Manuel Catalá | Joan Oriol | 4 | 22 | 5
EDGE José Manuel Catalá | Javier Matilla | 6 | 22 | 9
EDGE José Manuel Catalá | Cristóbal Márquez | 3 | 22 | 3
EDGE José Manuel Catalá | Jefferson Montero | 4 | 22 | 5
EDGE José Manuel Catalá | Mubarak Wakaso | 3 | 22 | 3
EDGE José Manuel Catalá | Carlos Tomás | 1 | 22 | 1
EDGE José Manuel Catalá | Marcos Gullón | 1 | 22 | 1
EDGE José Manuel Catalá | Kiko Olivas | 1 | 22 | 3
EDGE José Manuel Catalá | Cicinho | 1 | 22 | 1
EDGE Marco Ruben | Mario Gaspar | 18 | 23 | 34
EDGE Marco Ruben | Juan Carlos | 3 | 23 | 6
EDGE Marco Ruben | Joan Oriol | 1 | 23 | 5
EDGE Marco Ruben | Javier Matilla | 6 | 23 | 9
EDGE Marco Ruben | Cristóbal Márquez | 2 | 23 | 3
EDGE Marco Ruben | Jefferson Montero | 2 | 23 | 5
EDGE Marco Ruben | Mubarak Wakaso | 3 | 23 | 3
EDGE Marco Ruben | Carlos Tomás | 1 | 23 | 1
EDGE Marco Ruben | Marcos Gullón | 1 | 23 | 1
EDGE Mario Gaspar | Juan Carlos | 4 | 34 | 6
EDGE Mario Gaspar | Joan Oriol | 3 | 34 | 5
EDGE Mario Gaspar | Javier Matilla | 9 | 34 | 9
EDGE Mario Gaspar | Cristóbal Márquez | 3 | 34 | 3
EDGE Mario Gaspar | Jefferson Montero | 4 | 34 | 5
EDGE Mario Gaspar | Mubarak Wakaso | 3 | 34 | 3
EDGE Mario Gaspar | Carlos Tomás | 1 | 34 | 1
EDGE Mario Gaspar | Marcos Gullón | 1 | 34 | 1
EDGE Mario Gaspar | Kiko Olivas | 3 | 34 | 3
EDGE Juan Carlos | Joan Oriol | 3 | 6 | 5
EDGE Juan Carlos | Javier Matilla | 4 | 6 | 9
EDGE Juan Carlos | Cristóbal Márquez | 2 | 6 | 3
EDGE Juan Carlos | Jefferson Montero | 3 | 6 | 5
EDGE Juan Carlos | Kiko Olivas | 1 | 6 | 3
EDGE Joan Oriol | Javier Matilla | 3 | 5 | 9
EDGE Joan Oriol | Cristóbal Márquez | 2 | 5 | 3
EDGE Joan Oriol | Jefferson Montero | 4 | 5 | 5
EDGE Joan Oriol | Kiko Olivas | 1 | 5 | 3
EDGE Joan Oriol | Cicinho | 1 | 5 | 1
EDGE Javier Matilla | Cristóbal Márquez | 2 | 9 | 3
EDGE Javier Matilla | Jefferson Montero | 3 | 9 | 5
EDGE Javier Matilla | Mubarak Wakaso | 2 | 9 | 3
EDGE Javier Matilla | Kiko Olivas | 1 | 9 | 3
EDGE Cristóbal Márquez | Jefferson Montero | 2 | 3 | 5
EDGE Cristóbal Márquez | Marcos Gullón | 1 | 3 | 1
EDGE Cristóbal Márquez | Kiko Olivas | 1 | 3 | 3
EDGE Jefferson Montero | Kiko Olivas | 1 | 5 | 3
EDGE Jefferson Montero | Cicinho | 1 | 5 | 1
