# Graph for Java/GraphStream
# Nodes: 29
# Edges: 344

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Gerard Moreno | Adrián Dela | 1 | 18 | 5
EDGE Gerard Moreno | Francis Coquelin | 4 | 18 | 17
EDGE Gerard Moreno | Manu Morlanes | 2 | 18 | 12
EDGE Gerard Moreno | José Luis Morales | 4 | 18 | 19
EDGE Gerard Moreno | Alberto Moreno | 6 | 18 | 17
EDGE Gerard Moreno | Kiko Femenía | 5 | 18 | 17
EDGE Gerard Moreno | Filip Jørgensen | 2 | 18 | 6
EDGE Jorge Cuenca | Aïssa Mandi | 14 | 17 | 29
EDGE Jorge Cuenca | Johan Mojica | 10 | 17 | 14
EDGE Jorge Cuenca | Manu Morlanes | 9 | 17 | 12
EDGE Jorge Cuenca | Francis Coquelin | 8 | 17 | 17
EDGE Jorge Cuenca | Álex Baena | 15 | 17 | 32
EDGE Jorge Cuenca | José Luis Morales | 8 | 17 | 19
EDGE Jorge Cuenca | Diego Collado | 1 | 17 | 1
EDGE Jorge Cuenca | Étienne Capoue | 5 | 17 | 23
EDGE Jorge Cuenca | Kiko Femenía | 4 | 17 | 17
EDGE Jorge Cuenca | Arnaut Danjuma | 5 | 17 | 10
EDGE Jorge Cuenca | Nicolas Jackson | 5 | 17 | 20
EDGE Jorge Cuenca | Filip Jørgensen | 4 | 17 | 6
EDGE Jorge Cuenca | Adrián Dela | 5 | 17 | 5
EDGE Jorge Cuenca | Alberto Moreno | 4 | 17 | 17
EDGE Jorge Cuenca | Giovani Lo Celso | 2 | 17 | 16
EDGE Jorge Cuenca | Jorge Pascual | 1 | 17 | 1
EDGE Jorge Cuenca | Gerónimo Rulli | 1 | 17 | 14
EDGE Aïssa Mandi | Johan Mojica | 12 | 29 | 14
EDGE Aïssa Mandi | Manu Morlanes | 11 | 29 | 12
EDGE Aïssa Mandi | Francis Coquelin | 11 | 29 | 17
EDGE Aïssa Mandi | Álex Baena | 21 | 29 | 32
EDGE Aïssa Mandi | José Luis Morales | 14 | 29 | 19
EDGE Aïssa Mandi | Diego Collado | 1 | 29 | 1
EDGE Aïssa Mandi | Étienne Capoue | 6 | 29 | 23
EDGE Aïssa Mandi | Nicolas Jackson | 12 | 29 | 20
EDGE Aïssa Mandi | Kiko Femenía | 8 | 29 | 17
EDGE Aïssa Mandi | Arnaut Danjuma | 6 | 29 | 10
EDGE Aïssa Mandi | Filip Jørgensen | 4 | 29 | 6
EDGE Aïssa Mandi | Alberto Moreno | 8 | 29 | 17
EDGE Aïssa Mandi | Adrián Dela | 5 | 29 | 5
EDGE Aïssa Mandi | Giovani Lo Celso | 9 | 29 | 16
EDGE Aïssa Mandi | Gerónimo Rulli | 3 | 29 | 14
EDGE Aïssa Mandi | Jorge Pascual | 1 | 29 | 1
EDGE Johan Mojica | Manu Morlanes | 8 | 14 | 12
EDGE Johan Mojica | Francis Coquelin | 8 | 14 | 17
EDGE Johan Mojica | Álex Baena | 11 | 14 | 32
EDGE Johan Mojica | José Luis Morales | 9 | 14 | 19
EDGE Johan Mojica | Diego Collado | 1 | 14 | 1
EDGE Johan Mojica | Étienne Capoue | 3 | 14 | 23
EDGE Johan Mojica | Kiko Femenía | 2 | 14 | 17
EDGE Johan Mojica | Arnaut Danjuma | 3 | 14 | 10
EDGE Johan Mojica | Nicolas Jackson | 3 | 14 | 20
EDGE Johan Mojica | Filip Jørgensen | 3 | 14 | 6
EDGE Johan Mojica | Adrián Dela | 4 | 14 | 5
EDGE Johan Mojica | Gerónimo Rulli | 1 | 14 | 14
EDGE Johan Mojica | Alberto Moreno | 1 | 14 | 17
EDGE Johan Mojica | Giovani Lo Celso | 1 | 14 | 16
EDGE Johan Mojica | Jorge Pascual | 1 | 14 | 1
EDGE Manu Morlanes | Francis Coquelin | 7 | 12 | 17
EDGE Manu Morlanes | Álex Baena | 11 | 12 | 32
EDGE Manu Morlanes | José Luis Morales | 6 | 12 | 19
EDGE Manu Morlanes | Diego Collado | 1 | 12 | 1
EDGE Manu Morlanes | Gerónimo Rulli | 2 | 12 | 14
EDGE Manu Morlanes | Kiko Femenía | 4 | 12 | 17
EDGE Manu Morlanes | Arnaut Danjuma | 6 | 12 | 10
EDGE Manu Morlanes | Nicolas Jackson | 5 | 12 | 20
EDGE Manu Morlanes | Filip Jørgensen | 3 | 12 | 6
EDGE Manu Morlanes | Adrián Dela | 5 | 12 | 5
EDGE Manu Morlanes | Alberto Moreno | 1 | 12 | 17
EDGE Manu Morlanes | Giovani Lo Celso | 1 | 12 | 16
EDGE Francis Coquelin | Álex Baena | 11 | 17 | 32
EDGE Francis Coquelin | José Luis Morales | 9 | 17 | 19
EDGE Francis Coquelin | Diego Collado | 1 | 17 | 1
EDGE Francis Coquelin | Gerónimo Rulli | 6 | 17 | 14
EDGE Francis Coquelin | Kiko Femenía | 5 | 17 | 17
EDGE Francis Coquelin | Étienne Capoue | 5 | 17 | 23
EDGE Francis Coquelin | Giovani Lo Celso | 6 | 17 | 16
EDGE Francis Coquelin | Nicolas Jackson | 6 | 17 | 20
EDGE Francis Coquelin | Arnaut Danjuma | 4 | 17 | 10
EDGE Francis Coquelin | Filip Jørgensen | 3 | 17 | 6
EDGE Francis Coquelin | Adrián Dela | 5 | 17 | 5
EDGE Francis Coquelin | Alberto Moreno | 4 | 17 | 17
EDGE Álex Baena | José Luis Morales | 12 | 32 | 19
EDGE Álex Baena | Diego Collado | 1 | 32 | 1
EDGE Álex Baena | Gerónimo Rulli | 5 | 32 | 14
