# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Adrián López | José Antonio Reyes | 6 | 46 | 12
EDGE Adrián López | Joel Robles | 3 | 46 | 3
EDGE Adrián López | Diego Forlán | 2 | 46 | 2
EDGE Radamel Falcao | Diego Godín | 36 | 47 | 40
EDGE Radamel Falcao | Juanfran Torres | 30 | 47 | 35
EDGE Radamel Falcao | Koke | 18 | 47 | 21
EDGE Radamel Falcao | Eduardo Salvio | 13 | 47 | 24
EDGE Radamel Falcao | Tiago Mendes | 21 | 47 | 27
EDGE Radamel Falcao | José Antonio Reyes | 7 | 47 | 12
EDGE Radamel Falcao | Sílvio | 6 | 47 | 12
EDGE Radamel Falcao | Paulo Assunção | 7 | 47 | 11
EDGE Radamel Falcao | Antonio López | 4 | 47 | 6
EDGE Radamel Falcao | Sergio Asenjo | 3 | 47 | 4
EDGE Radamel Falcao | Pizzi | 1 | 47 | 2
EDGE Diego Godín | Juanfran Torres | 26 | 40 | 35
EDGE Diego Godín | Koke | 16 | 40 | 21
EDGE Diego Godín | Eduardo Salvio | 14 | 40 | 24
EDGE Diego Godín | Tiago Mendes | 16 | 40 | 27
EDGE Diego Godín | Sílvio | 4 | 40 | 12
EDGE Diego Godín | Paulo Assunção | 8 | 40 | 11
EDGE Diego Godín | Antonio López | 4 | 40 | 6
EDGE Diego Godín | José Antonio Reyes | 3 | 40 | 12
EDGE Diego Godín | Sergio Asenjo | 2 | 40 | 4
EDGE Diego Godín | Pizzi | 1 | 40 | 2
EDGE Juanfran Torres | Koke | 15 | 35 | 21
EDGE Juanfran Torres | Eduardo Salvio | 14 | 35 | 24
EDGE Juanfran Torres | Tiago Mendes | 16 | 35 | 27
EDGE Juanfran Torres | José Antonio Reyes | 2 | 35 | 12
EDGE Juanfran Torres | Paulo Assunção | 5 | 35 | 11
EDGE Juanfran Torres | Sergio Asenjo | 2 | 35 | 4
EDGE Juanfran Torres | Jorge Pulido | 1 | 35 | 1
EDGE Juanfran Torres | Antonio López | 1 | 35 | 6
EDGE Juanfran Torres | Javier Manquillo | 1 | 35 | 1
EDGE Juanfran Torres | Pizzi | 2 | 35 | 2
EDGE Juanfran Torres | Joel Robles | 1 | 35 | 3
EDGE Juanfran Torres | Sílvio | 1 | 35 | 12
EDGE Juanfran Torres | Diego Forlán | 1 | 35 | 2
EDGE Koke | Eduardo Salvio | 8 | 21 | 24
EDGE Koke | Paulo Assunção | 6 | 21 | 11
EDGE Koke | Sílvio | 1 | 21 | 12
EDGE Koke | Sergio Asenjo | 4 | 21 | 4
EDGE Koke | Jorge Pulido | 1 | 21 | 1
EDGE Koke | Antonio López | 2 | 21 | 6
EDGE Koke | Javier Manquillo | 1 | 21 | 1
EDGE Koke | Pizzi | 1 | 21 | 2
EDGE Koke | Tiago Mendes | 4 | 21 | 27
EDGE Koke | José Antonio Reyes | 1 | 21 | 12
EDGE Eduardo Salvio | Paulo Assunção | 6 | 24 | 11
EDGE Eduardo Salvio | Sílvio | 6 | 24 | 12
EDGE Eduardo Salvio | Sergio Asenjo | 1 | 24 | 4
EDGE Eduardo Salvio | Jorge Pulido | 1 | 24 | 1
EDGE Eduardo Salvio | Antonio López | 2 | 24 | 6
EDGE Eduardo Salvio | Javier Manquillo | 1 | 24 | 1
EDGE Eduardo Salvio | Pizzi | 1 | 24 | 2
EDGE Eduardo Salvio | Tiago Mendes | 11 | 24 | 27
EDGE Eduardo Salvio | José Antonio Reyes | 4 | 24 | 12
EDGE Eduardo Salvio | Joel Robles | 2 | 24 | 3
EDGE Eduardo Salvio | Diego Forlán | 1 | 24 | 2
EDGE Tiago Mendes | José Antonio Reyes | 9 | 27 | 12
EDGE Tiago Mendes | Sílvio | 8 | 27 | 12
EDGE Tiago Mendes | Antonio López | 2 | 27 | 6
EDGE Tiago Mendes | Joel Robles | 2 | 27 | 3
EDGE Tiago Mendes | Diego Forlán | 1 | 27 | 2
EDGE José Antonio Reyes | Sílvio | 8 | 12 | 12
EDGE José Antonio Reyes | Paulo Assunção | 2 | 12 | 11
EDGE José Antonio Reyes | Joel Robles | 3 | 12 | 3
EDGE José Antonio Reyes | Antonio López | 2 | 12 | 6
EDGE José Antonio Reyes | Diego Forlán | 2 | 12 | 2
EDGE José Antonio Reyes | Sergio Asenjo | 1 | 12 | 4
EDGE Sílvio | Paulo Assunção | 3 | 12 | 11
EDGE Sílvio | Joel Robles | 3 | 12 | 3
EDGE Sílvio | Antonio López | 1 | 12 | 6
EDGE Sílvio | Diego Forlán | 2 | 12 | 2
EDGE Paulo Assunção | Sergio Asenjo | 3 | 11 | 4
EDGE Paulo Assunção | Jorge Pulido | 1 | 11 | 1
EDGE Paulo Assunção | Antonio López | 2 | 11 | 6
EDGE Paulo Assunção | Javier Manquillo | 1 | 11 | 1
EDGE Paulo Assunção | Pizzi | 2 | 11 | 2
EDGE Paulo Assunção | Joel Robles | 1 | 11 | 3
EDGE Paulo Assunção | Diego Forlán | 1 | 11 | 2
EDGE Antonio López | Sergio Asenjo | 1 | 6 | 4
EDGE Antonio López | Jorge Pulido | 1 | 6 | 1
EDGE Antonio López | Javier Manquillo | 1 | 6 | 1
EDGE Antonio López | Pizzi | 1 | 6 | 2
EDGE Antonio López | Joel Robles | 1 | 6 | 3
EDGE Antonio López | Diego Forlán | 1 | 6 | 2
EDGE Sergio Asenjo | Jorge Pulido | 1 | 4 | 1
EDGE Sergio Asenjo | Javier Manquillo | 1 | 4 | 1
EDGE Sergio Asenjo | Pizzi | 1 | 4 | 2
EDGE Jorge Pulido | Javier Manquillo | 1 | 1 | 1
EDGE Jorge Pulido | Pizzi | 1 | 1 | 2
EDGE Javier Manquillo | Pizzi | 1 | 1 | 2
EDGE Joel Robles | Diego Forlán | 2 | 3 | 2
