# Graph for Java/GraphStream
# Nodes: 31
# Edges: 386

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Aïssa Mandi | Denis Suárez | 1 | 18 | 2
EDGE Aïssa Mandi | Ben Brereton Díaz | 4 | 18 | 6
EDGE Aïssa Mandi | Carlos Romero | 1 | 18 | 3
EDGE Aïssa Mandi | Jorge Pascual | 1 | 18 | 1
EDGE Aïssa Mandi | Gonçalo Guedes | 4 | 18 | 11
EDGE Kiko Femenía | Santi Comesaña | 16 | 21 | 28
EDGE Kiko Femenía | Manu Trigueros | 5 | 21 | 9
EDGE Kiko Femenía | Bertrand Traoré | 6 | 21 | 6
EDGE Kiko Femenía | Alberto Moreno | 11 | 21 | 22
EDGE Kiko Femenía | Yéremy Pino | 1 | 21 | 8
EDGE Kiko Femenía | Eric Bailly | 7 | 21 | 12
EDGE Kiko Femenía | Francis Coquelin | 9 | 21 | 12
EDGE Kiko Femenía | Ilias Akhomach | 10 | 21 | 24
EDGE Kiko Femenía | Gonçalo Guedes | 7 | 21 | 11
EDGE Kiko Femenía | Denis Suárez | 1 | 21 | 2
EDGE Kiko Femenía | Ben Brereton Díaz | 2 | 21 | 6
EDGE Kiko Femenía | Carlos Romero | 1 | 21 | 3
EDGE Kiko Femenía | Jorge Pascual | 1 | 21 | 1
EDGE Santi Comesaña | Manu Trigueros | 7 | 28 | 9
EDGE Santi Comesaña | Bertrand Traoré | 5 | 28 | 6
EDGE Santi Comesaña | Eric Bailly | 9 | 28 | 12
EDGE Santi Comesaña | Alberto Moreno | 17 | 28 | 22
EDGE Santi Comesaña | Francis Coquelin | 8 | 28 | 12
EDGE Santi Comesaña | Ilias Akhomach | 17 | 28 | 24
EDGE Santi Comesaña | Gonçalo Guedes | 8 | 28 | 11
EDGE Santi Comesaña | Denis Suárez | 1 | 28 | 2
EDGE Santi Comesaña | Ben Brereton Díaz | 4 | 28 | 6
EDGE Santi Comesaña | Carlos Romero | 1 | 28 | 3
EDGE Santi Comesaña | Jorge Pascual | 1 | 28 | 1
EDGE Santi Comesaña | Yéremy Pino | 1 | 28 | 8
EDGE Manu Trigueros | Bertrand Traoré | 1 | 9 | 6
EDGE Manu Trigueros | Alberto Moreno | 4 | 9 | 22
EDGE Manu Trigueros | Yéremy Pino | 2 | 9 | 8
EDGE Manu Trigueros | Denis Suárez | 1 | 9 | 2
EDGE Manu Trigueros | Ben Brereton Díaz | 5 | 9 | 6
EDGE Manu Trigueros | Carlos Romero | 1 | 9 | 3
EDGE Manu Trigueros | Ilias Akhomach | 4 | 9 | 24
EDGE Manu Trigueros | Jorge Pascual | 1 | 9 | 1
EDGE Bertrand Traoré | Eric Bailly | 3 | 6 | 12
EDGE Bertrand Traoré | Alberto Moreno | 3 | 6 | 22
EDGE Bertrand Traoré | Francis Coquelin | 1 | 6 | 12
EDGE Bertrand Traoré | Gonçalo Guedes | 2 | 6 | 11
EDGE Alberto Moreno | Yéremy Pino | 3 | 22 | 8
EDGE Alberto Moreno | Ilias Akhomach | 14 | 22 | 24
EDGE Alberto Moreno | Eric Bailly | 7 | 22 | 12
EDGE Alberto Moreno | Francis Coquelin | 5 | 22 | 12
EDGE Alberto Moreno | Gonçalo Guedes | 5 | 22 | 11
EDGE Alberto Moreno | Ben Brereton Díaz | 1 | 22 | 6
EDGE Yéremy Pino | Carlos Romero | 1 | 8 | 3
EDGE Yéremy Pino | Denis Suárez | 1 | 8 | 2
EDGE Yéremy Pino | Ben Brereton Díaz | 1 | 8 | 6
EDGE Ilias Akhomach | Eric Bailly | 8 | 24 | 12
EDGE Ilias Akhomach | Francis Coquelin | 9 | 24 | 12
EDGE Ilias Akhomach | Gonçalo Guedes | 7 | 24 | 11
EDGE Ilias Akhomach | Carlos Romero | 2 | 24 | 3
EDGE Ilias Akhomach | Ben Brereton Díaz | 3 | 24 | 6
EDGE Ilias Akhomach | Jorge Pascual | 1 | 24 | 1
EDGE Eric Bailly | Francis Coquelin | 6 | 12 | 12
EDGE Eric Bailly | Gonçalo Guedes | 6 | 12 | 11
EDGE Francis Coquelin | Gonçalo Guedes | 7 | 12 | 11
EDGE Denis Suárez | Ben Brereton Díaz | 1 | 2 | 6
EDGE Ben Brereton Díaz | Carlos Romero | 1 | 6 | 3
EDGE Ben Brereton Díaz | Jorge Pascual | 1 | 6 | 1
EDGE Carlos Romero | Jorge Pascual | 1 | 3 | 1
