# Graph for Java/GraphStream
# Nodes: 27
# Edges: 304

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Paco Alcácer | Gerard Deulofeu | 3 | 11 | 10
EDGE Paco Alcácer | Jasper Cillessen | 3 | 11 | 11
EDGE Paco Alcácer | Carles Aleñá | 2 | 11 | 3
EDGE Paco Alcácer | Denis Suárez | 4 | 11 | 10
EDGE Paco Alcácer | José Manuel Arnáiz | 1 | 11 | 2
EDGE Paco Alcácer | Uri Busquets | 1 | 11 | 1
EDGE Denis Suárez | Jasper Cillessen | 5 | 10 | 11
EDGE Denis Suárez | Carles Aleñá | 3 | 10 | 3
EDGE Denis Suárez | José Manuel Arnáiz | 2 | 10 | 2
EDGE Denis Suárez | Gerard Deulofeu | 3 | 10 | 10
EDGE Denis Suárez | Uri Busquets | 1 | 10 | 1
EDGE Jasper Cillessen | Carles Aleñá | 3 | 11 | 3
EDGE Jasper Cillessen | José Manuel Arnáiz | 2 | 11 | 2
EDGE Jasper Cillessen | Gerard Deulofeu | 2 | 11 | 10
EDGE Jasper Cillessen | Uri Busquets | 1 | 11 | 1
EDGE Gerard Deulofeu | Carles Aleñá | 2 | 10 | 3
EDGE Gerard Deulofeu | José Manuel Arnáiz | 1 | 10 | 2
EDGE Gerard Deulofeu | Uri Busquets | 1 | 10 | 1
EDGE Carles Aleñá | José Manuel Arnáiz | 1 | 3 | 2
EDGE Carles Aleñá | Uri Busquets | 1 | 3 | 1
