# Graph for Java/GraphStream
# Nodes: 26
# Edges: 268

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Rodrygo | Dani Ceballos | 3 | 41 | 8
EDGE Rodrygo | Brahim Díaz | 15 | 41 | 22
EDGE Rodrygo | Joselu | 7 | 41 | 18
EDGE Nacho Fernández | Daniel Carvajal | 20 | 31 | 36
EDGE Nacho Fernández | Aurélien Tchouaméni | 15 | 31 | 29
EDGE Nacho Fernández | Vinicius Junior | 20 | 31 | 33
EDGE Nacho Fernández | Joselu | 11 | 31 | 18
EDGE Nacho Fernández | Thibaut Courtois | 4 | 31 | 5
EDGE Nacho Fernández | Éder Militão | 3 | 31 | 6
EDGE Nacho Fernández | Ferland Mendy | 20 | 31 | 31
EDGE Nacho Fernández | Andriy Lunin | 16 | 31 | 29
EDGE Nacho Fernández | Dani Ceballos | 5 | 31 | 8
EDGE Nacho Fernández | Brahim Díaz | 15 | 31 | 22
EDGE Nacho Fernández | Arda Güler | 3 | 31 | 5
EDGE Nacho Fernández | Álvaro Carrillo | 1 | 31 | 1
EDGE Nacho Fernández | Vinícius Tobias | 1 | 31 | 1
EDGE Nacho Fernández | Nico Paz | 1 | 31 | 1
EDGE Daniel Carvajal | Aurélien Tchouaméni | 22 | 36 | 29
EDGE Daniel Carvajal | Vinicius Junior | 27 | 36 | 33
EDGE Daniel Carvajal | Joselu | 9 | 36 | 18
EDGE Daniel Carvajal | Thibaut Courtois | 4 | 36 | 5
EDGE Daniel Carvajal | Éder Militão | 4 | 36 | 6
EDGE Daniel Carvajal | Ferland Mendy | 23 | 36 | 31
EDGE Daniel Carvajal | Andriy Lunin | 19 | 36 | 29
EDGE Daniel Carvajal | Dani Ceballos | 4 | 36 | 8
EDGE Daniel Carvajal | Brahim Díaz | 10 | 36 | 22
EDGE Daniel Carvajal | Arda Güler | 2 | 36 | 5
EDGE Aurélien Tchouaméni | Vinicius Junior | 22 | 29 | 33
EDGE Aurélien Tchouaméni | Joselu | 10 | 29 | 18
EDGE Aurélien Tchouaméni | Andriy Lunin | 16 | 29 | 29
EDGE Aurélien Tchouaméni | Ferland Mendy | 17 | 29 | 31
EDGE Aurélien Tchouaméni | Brahim Díaz | 8 | 29 | 22
EDGE Aurélien Tchouaméni | Éder Militão | 2 | 29 | 6
EDGE Aurélien Tchouaméni | Dani Ceballos | 1 | 29 | 8
EDGE Aurélien Tchouaméni | Arda Güler | 1 | 29 | 5
EDGE Vinicius Junior | Joselu | 5 | 33 | 18
EDGE Vinicius Junior | Andriy Lunin | 20 | 33 | 29
EDGE Vinicius Junior | Thibaut Courtois | 3 | 33 | 5
EDGE Vinicius Junior | Éder Militão | 2 | 33 | 6
EDGE Vinicius Junior | Ferland Mendy | 22 | 33 | 31
EDGE Vinicius Junior | Dani Ceballos | 1 | 33 | 8
EDGE Vinicius Junior | Brahim Díaz | 8 | 33 | 22
EDGE Joselu | Ferland Mendy | 6 | 18 | 31
EDGE Joselu | Andriy Lunin | 6 | 18 | 29
EDGE Joselu | Éder Militão | 4 | 18 | 6
EDGE Joselu | Dani Ceballos | 6 | 18 | 8
EDGE Joselu | Brahim Díaz | 9 | 18 | 22
EDGE Joselu | Arda Güler | 5 | 18 | 5
EDGE Joselu | Thibaut Courtois | 2 | 18 | 5
EDGE Joselu | Álvaro Carrillo | 1 | 18 | 1
EDGE Joselu | Vinícius Tobias | 1 | 18 | 1
EDGE Joselu | Nico Paz | 1 | 18 | 1
EDGE Andriy Lunin | Ferland Mendy | 22 | 29 | 31
EDGE Andriy Lunin | Dani Ceballos | 3 | 29 | 8
EDGE Andriy Lunin | Brahim Díaz | 16 | 29 | 22
EDGE Andriy Lunin | Éder Militão | 2 | 29 | 6
EDGE Andriy Lunin | Arda Güler | 1 | 29 | 5
EDGE Thibaut Courtois | Éder Militão | 3 | 5 | 6
EDGE Thibaut Courtois | Ferland Mendy | 3 | 5 | 31
EDGE Thibaut Courtois | Dani Ceballos | 2 | 5 | 8
EDGE Thibaut Courtois | Brahim Díaz | 2 | 5 | 22
EDGE Thibaut Courtois | Arda Güler | 2 | 5 | 5
EDGE Éder Militão | Ferland Mendy | 1 | 6 | 31
EDGE Éder Militão | Dani Ceballos | 4 | 6 | 8
EDGE Éder Militão | Brahim Díaz | 4 | 6 | 22
EDGE Éder Militão | Arda Güler | 4 | 6 | 5
EDGE Ferland Mendy | Brahim Díaz | 14 | 31 | 22
EDGE Ferland Mendy | Dani Ceballos | 1 | 31 | 8
EDGE Dani Ceballos | Brahim Díaz | 7 | 8 | 22
EDGE Dani Ceballos | Arda Güler | 5 | 8 | 5
EDGE Dani Ceballos | Álvaro Carrillo | 1 | 8 | 1
EDGE Dani Ceballos | Vinícius Tobias | 1 | 8 | 1
EDGE Dani Ceballos | Nico Paz | 1 | 8 | 1
EDGE Brahim Díaz | Arda Güler | 5 | 22 | 5
EDGE Brahim Díaz | Álvaro Carrillo | 1 | 22 | 1
EDGE Brahim Díaz | Vinícius Tobias | 1 | 22 | 1
EDGE Brahim Díaz | Nico Paz | 1 | 22 | 1
EDGE Arda Güler | Álvaro Carrillo | 1 | 5 | 1
EDGE Arda Güler | Vinícius Tobias | 1 | 5 | 1
EDGE Arda Güler | Nico Paz | 1 | 5 | 1
EDGE Álvaro Carrillo | Vinícius Tobias | 1 | 1 | 1
EDGE Álvaro Carrillo | Nico Paz | 1 | 1 | 1
EDGE Vinícius Tobias | Nico Paz | 1 | 1 | 1
