# Graph for Java/GraphStream
# Nodes: 28
# Edges: 317

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Rodri | Manu Trigueros | 2 | 4 | 32
EDGE Rodri | Samu García | 4 | 4 | 15
EDGE Rodri | Roberto Soldado | 1 | 4 | 39
EDGE Rodri | Adrián López | 1 | 4 | 11
EDGE Rodri | Eric Bailly | 2 | 4 | 35
EDGE Rodri | Tomás Pina | 2 | 4 | 27
EDGE Rodri | Léo Baptistão | 2 | 4 | 17
EDGE Manu Trigueros | Samu García | 10 | 32 | 15
EDGE Manu Trigueros | Eric Bailly | 20 | 32 | 35
EDGE Manu Trigueros | Bojan Jokic | 4 | 32 | 7
EDGE Manu Trigueros | Tomás Pina | 7 | 32 | 27
EDGE Manu Trigueros | Alfonso Pedraza | 2 | 32 | 2
EDGE Manu Trigueros | Roberto Soldado | 22 | 32 | 39
EDGE Manu Trigueros | Léo Baptistão | 10 | 32 | 17
EDGE Manu Trigueros | Adrián López | 5 | 32 | 11
EDGE Manu Trigueros | Sergio Asenjo | 3 | 32 | 7
EDGE Manu Trigueros | Miguel Llambrich | 1 | 32 | 1
EDGE Samu García | Eric Bailly | 9 | 15 | 35
EDGE Samu García | Bojan Jokic | 7 | 15 | 7
EDGE Samu García | Tomás Pina | 8 | 15 | 27
EDGE Samu García | Alfonso Pedraza | 1 | 15 | 2
EDGE Samu García | Roberto Soldado | 5 | 15 | 39
EDGE Samu García | Léo Baptistão | 7 | 15 | 17
EDGE Samu García | Adrián López | 4 | 15 | 11
EDGE Samu García | Miguel Llambrich | 1 | 15 | 1
EDGE Eric Bailly | Roberto Soldado | 23 | 35 | 39
EDGE Eric Bailly | Léo Baptistão | 13 | 35 | 17
EDGE Eric Bailly | Bojan Jokic | 4 | 35 | 7
EDGE Eric Bailly | Tomás Pina | 20 | 35 | 27
EDGE Eric Bailly | Alfonso Pedraza | 2 | 35 | 2
EDGE Eric Bailly | Adrián López | 7 | 35 | 11
EDGE Eric Bailly | Sergio Asenjo | 7 | 35 | 7
EDGE Eric Bailly | Miguel Llambrich | 1 | 35 | 1
EDGE Roberto Soldado | Léo Baptistão | 7 | 39 | 17
EDGE Roberto Soldado | Bojan Jokic | 3 | 39 | 7
EDGE Roberto Soldado | Tomás Pina | 19 | 39 | 27
EDGE Roberto Soldado | Alfonso Pedraza | 1 | 39 | 2
EDGE Roberto Soldado | Sergio Asenjo | 5 | 39 | 7
EDGE Roberto Soldado | Adrián López | 3 | 39 | 11
EDGE Léo Baptistão | Adrián López | 6 | 17 | 11
EDGE Léo Baptistão | Tomás Pina | 8 | 17 | 27
EDGE Léo Baptistão | Sergio Asenjo | 1 | 17 | 7
EDGE Léo Baptistão | Bojan Jokic | 2 | 17 | 7
EDGE Léo Baptistão | Alfonso Pedraza | 1 | 17 | 2
EDGE Bojan Jokic | Tomás Pina | 4 | 7 | 27
EDGE Bojan Jokic | Alfonso Pedraza | 1 | 7 | 2
EDGE Bojan Jokic | Adrián López | 2 | 7 | 11
EDGE Bojan Jokic | Miguel Llambrich | 1 | 7 | 1
EDGE Tomás Pina | Alfonso Pedraza | 1 | 27 | 2
EDGE Tomás Pina | Sergio Asenjo | 4 | 27 | 7
EDGE Tomás Pina | Adrián López | 5 | 27 | 11
EDGE Alfonso Pedraza | Adrián López | 1 | 2 | 11
EDGE Adrián López | Sergio Asenjo | 2 | 11 | 7
