# Graph for Java/GraphStream
# Nodes: 26
# Edges: 248

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Jan Oblak | Mario Hermoso | 33 | 46 | 34
EDGE Jan Oblak | Stefan Savic | 41 | 46 | 41
EDGE Jan Oblak | Marcos Llorente | 41 | 46 | 41
EDGE Jan Oblak | Koke | 41 | 46 | 41
EDGE Jan Oblak | Kieran Trippier | 35 | 46 | 35
EDGE Jan Oblak | Yannick Carrasco | 30 | 46 | 30
EDGE Jan Oblak | Thomas Lemar | 20 | 46 | 21
EDGE Jan Oblak | Luis Suárez | 36 | 46 | 36
EDGE Jan Oblak | Héctor Herrera | 11 | 46 | 11
EDGE Jan Oblak | Sime Vrsaljko | 6 | 46 | 6
EDGE Jan Oblak | Thomas Partey | 2 | 46 | 2
EDGE Jan Oblak | Manu Sánchez | 1 | 46 | 1
EDGE Jan Oblak | Diego Costa | 2 | 46 | 2
EDGE Mario Hermoso | Stefan Savic | 28 | 34 | 41
EDGE Mario Hermoso | Marcos Llorente | 30 | 34 | 41
EDGE Mario Hermoso | Koke | 30 | 34 | 41
EDGE Mario Hermoso | Kieran Trippier | 25 | 34 | 35
EDGE Mario Hermoso | Yannick Carrasco | 22 | 34 | 30
EDGE Mario Hermoso | Thomas Lemar | 19 | 34 | 21
EDGE Mario Hermoso | Luis Suárez | 28 | 34 | 36
EDGE Mario Hermoso | Ivo Grbic | 1 | 34 | 1
EDGE Mario Hermoso | Héctor Herrera | 5 | 34 | 11
EDGE Mario Hermoso | Sime Vrsaljko | 5 | 34 | 6
EDGE Mario Hermoso | Thomas Partey | 1 | 34 | 2
EDGE Mario Hermoso | Manu Sánchez | 1 | 34 | 1
EDGE Mario Hermoso | Diego Costa | 1 | 34 | 2
EDGE Stefan Savic | Marcos Llorente | 36 | 41 | 41
EDGE Stefan Savic | Koke | 37 | 41 | 41
EDGE Stefan Savic | Kieran Trippier | 32 | 41 | 35
EDGE Stefan Savic | Yannick Carrasco | 28 | 41 | 30
EDGE Stefan Savic | Thomas Lemar | 18 | 41 | 21
EDGE Stefan Savic | Luis Suárez | 31 | 41 | 36
EDGE Stefan Savic | Héctor Herrera | 11 | 41 | 11
EDGE Stefan Savic | Thomas Partey | 1 | 41 | 2
EDGE Stefan Savic | Sime Vrsaljko | 5 | 41 | 6
EDGE Stefan Savic | Manu Sánchez | 1 | 41 | 1
EDGE Stefan Savic | Diego Costa | 2 | 41 | 2
EDGE Marcos Llorente | Koke | 37 | 41 | 41
EDGE Marcos Llorente | Kieran Trippier | 30 | 41 | 35
EDGE Marcos Llorente | Yannick Carrasco | 28 | 41 | 30
EDGE Marcos Llorente | Thomas Lemar | 18 | 41 | 21
EDGE Marcos Llorente | Luis Suárez | 33 | 41 | 36
EDGE Marcos Llorente | Héctor Herrera | 9 | 41 | 11
EDGE Marcos Llorente | Sime Vrsaljko | 6 | 41 | 6
EDGE Marcos Llorente | Thomas Partey | 1 | 41 | 2
EDGE Koke | Kieran Trippier | 31 | 41 | 35
EDGE Koke | Yannick Carrasco | 28 | 41 | 30
EDGE Koke | Thomas Lemar | 17 | 41 | 21
EDGE Koke | Luis Suárez | 31 | 41 | 36
EDGE Koke | Héctor Herrera | 9 | 41 | 11
EDGE Koke | Sime Vrsaljko | 5 | 41 | 6
EDGE Koke | Thomas Partey | 1 | 41 | 2
EDGE Koke | Manu Sánchez | 1 | 41 | 1
EDGE Koke | Diego Costa | 2 | 41 | 2
EDGE Kieran Trippier | Yannick Carrasco | 24 | 35 | 30
EDGE Kieran Trippier | Thomas Lemar | 13 | 35 | 21
EDGE Kieran Trippier | Luis Suárez | 25 | 35 | 36
EDGE Kieran Trippier | Héctor Herrera | 11 | 35 | 11
EDGE Kieran Trippier | Thomas Partey | 2 | 35 | 2
EDGE Kieran Trippier | Manu Sánchez | 1 | 35 | 1
EDGE Kieran Trippier | Diego Costa | 2 | 35 | 2
EDGE Yannick Carrasco | Thomas Lemar | 12 | 30 | 21
EDGE Yannick Carrasco | Luis Suárez | 22 | 30 | 36
EDGE Yannick Carrasco | Héctor Herrera | 6 | 30 | 11
EDGE Yannick Carrasco | Sime Vrsaljko | 5 | 30 | 6
EDGE Yannick Carrasco | Diego Costa | 1 | 30 | 2
EDGE Thomas Lemar | Luis Suárez | 19 | 21 | 36
EDGE Thomas Lemar | Ivo Grbic | 1 | 21 | 1
EDGE Thomas Lemar | Sime Vrsaljko | 5 | 21 | 6
EDGE Thomas Lemar | Héctor Herrera | 1 | 21 | 11
EDGE Thomas Lemar | Manu Sánchez | 1 | 21 | 1
EDGE Thomas Lemar | Diego Costa | 1 | 21 | 2
EDGE Luis Suárez | Héctor Herrera | 6 | 36 | 11
EDGE Luis Suárez | Sime Vrsaljko | 6 | 36 | 6
EDGE Luis Suárez | Thomas Partey | 2 | 36 | 2
EDGE Luis Suárez | Manu Sánchez | 1 | 36 | 1
EDGE Luis Suárez | Diego Costa | 1 | 36 | 2
EDGE Manu Sánchez | Diego Costa | 1 | 1 | 2
