# Graph for Java/GraphStream
# Nodes: 26
# Edges: 296

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Raphaël Varane | Mariano Díaz | 3 | 42 | 4
EDGE Raphaël Varane | Federico Valverde | 7 | 42 | 10
EDGE Raphaël Varane | Brahim Díaz | 3 | 42 | 5
EDGE Raphaël Varane | Jesús Vallejo | 3 | 42 | 6
EDGE Marcelo | Daniel Carvajal | 20 | 32 | 35
EDGE Marcelo | Isco | 13 | 32 | 17
EDGE Marcelo | Mariano Díaz | 3 | 32 | 4
EDGE Marcelo | Federico Valverde | 5 | 32 | 10
EDGE Marcelo | Jesús Vallejo | 5 | 32 | 6
EDGE Marcelo | Brahim Díaz | 4 | 32 | 5
EDGE Marcelo | Luca Zidane | 1 | 32 | 1
EDGE Daniel Carvajal | Isco | 8 | 35 | 17
EDGE Daniel Carvajal | Federico Valverde | 6 | 35 | 10
EDGE Daniel Carvajal | Brahim Díaz | 4 | 35 | 5
EDGE Daniel Carvajal | Jesús Vallejo | 5 | 35 | 6
EDGE Daniel Carvajal | Mariano Díaz | 3 | 35 | 4
EDGE Isco | Mariano Díaz | 2 | 17 | 4
EDGE Isco | Federico Valverde | 6 | 17 | 10
EDGE Isco | Brahim Díaz | 3 | 17 | 5
EDGE Isco | Jesús Vallejo | 3 | 17 | 6
EDGE Isco | Luca Zidane | 1 | 17 | 1
EDGE Mariano Díaz | Jesús Vallejo | 3 | 4 | 6
EDGE Mariano Díaz | Federico Valverde | 2 | 4 | 10
EDGE Mariano Díaz | Brahim Díaz | 1 | 4 | 5
EDGE Federico Valverde | Brahim Díaz | 3 | 10 | 5
EDGE Federico Valverde | Jesús Vallejo | 3 | 10 | 6
EDGE Brahim Díaz | Jesús Vallejo | 2 | 5 | 6
EDGE Brahim Díaz | Luca Zidane | 1 | 5 | 1
