# Graph for Java/GraphStream
# Nodes: 26
# Edges: 262

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Henrik Larsson | Maxi López | 1 | 21 | 2
EDGE Xavi | Gabri | 1 | 20 | 8
EDGE Xavi | Thiago Motta | 2 | 20 | 16
EDGE Xavi | Santiago Ezquerro | 1 | 20 | 6
EDGE Xavi | Maxi López | 1 | 20 | 2
EDGE Thiago Motta | Gabri | 4 | 16 | 8
EDGE Thiago Motta | Santiago Ezquerro | 3 | 16 | 6
EDGE Thiago Motta | Maxi López | 2 | 16 | 2
EDGE Thiago Motta | Jesús Olmo | 1 | 16 | 1
EDGE Thiago Motta | Andrea Orlandi | 1 | 16 | 1
EDGE Thiago Motta | Ludovic Sylvestre | 1 | 16 | 1
EDGE Gabri | Santiago Ezquerro | 4 | 8 | 6
EDGE Gabri | Maxi López | 1 | 8 | 2
EDGE Santiago Ezquerro | Maxi López | 2 | 6 | 2
EDGE Santiago Ezquerro | Jesús Olmo | 1 | 6 | 1
EDGE Santiago Ezquerro | Andrea Orlandi | 1 | 6 | 1
EDGE Santiago Ezquerro | Ludovic Sylvestre | 1 | 6 | 1
EDGE Maxi López | Jesús Olmo | 1 | 2 | 1
EDGE Maxi López | Andrea Orlandi | 1 | 2 | 1
EDGE Maxi López | Ludovic Sylvestre | 1 | 2 | 1
EDGE Jesús Olmo | Andrea Orlandi | 1 | 1 | 1
EDGE Jesús Olmo | Ludovic Sylvestre | 1 | 1 | 1
EDGE Andrea Orlandi | Ludovic Sylvestre | 1 | 1 | 1
