# Graph for Java/GraphStream
# Nodes: 26
# Edges: 278

# Format: EDGE player1 | player2 | weight | matches1 | matches2

EDGE Iñaki Williams | Unai Vencedor | 2 | 41 | 2
EDGE Iñaki Williams | Álex Berenguer | 1 | 41 | 1
EDGE Unai Simón | Yeray Álvarez | 34 | 38 | 38
EDGE Unai Simón | Óscar de Marcos | 7 | 38 | 7
EDGE Unai Simón | Unai López | 23 | 38 | 25
EDGE Unai Simón | Oihan Sancet | 9 | 38 | 9
EDGE Unai Simón | Yuri Berchiche | 33 | 38 | 38
EDGE Unai Simón | Mikel San José | 4 | 38 | 4
EDGE Unai Simón | Dani García | 32 | 38 | 38
EDGE Unai Simón | Iker Muniain | 28 | 38 | 31
EDGE Unai Simón | Ibai Gómez | 5 | 38 | 8
EDGE Unai Simón | Gaizka Larrazabal | 1 | 38 | 3
EDGE Unai Simón | Kenan Kodro | 4 | 38 | 4
EDGE Unai Simón | Asier Villalibre | 3 | 38 | 7
EDGE Unai Simón | Unai Vencedor | 2 | 38 | 2
EDGE Unai Simón | Álex Berenguer | 1 | 38 | 1
EDGE Yeray Álvarez | Óscar de Marcos | 6 | 38 | 7
EDGE Yeray Álvarez | Unai López | 22 | 38 | 25
EDGE Yeray Álvarez | Oihan Sancet | 7 | 38 | 9
EDGE Yeray Álvarez | Yuri Berchiche | 34 | 38 | 38
EDGE Yeray Álvarez | Mikel San José | 4 | 38 | 4
EDGE Yeray Álvarez | Dani García | 33 | 38 | 38
EDGE Yeray Álvarez | Iker Muniain | 27 | 38 | 31
EDGE Yeray Álvarez | Ibai Gómez | 7 | 38 | 8
EDGE Yeray Álvarez | Asier Villalibre | 5 | 38 | 7
EDGE Yeray Álvarez | Gaizka Larrazabal | 1 | 38 | 3
EDGE Yeray Álvarez | Kenan Kodro | 4 | 38 | 4
EDGE Yeray Álvarez | Unai Vencedor | 2 | 38 | 2
EDGE Yeray Álvarez | Álex Berenguer | 1 | 38 | 1
EDGE Óscar de Marcos | Unai López | 4 | 7 | 25
EDGE Óscar de Marcos | Oihan Sancet | 3 | 7 | 9
EDGE Óscar de Marcos | Iker Muniain | 6 | 7 | 31
EDGE Óscar de Marcos | Yuri Berchiche | 4 | 7 | 38
EDGE Óscar de Marcos | Dani García | 4 | 7 | 38
EDGE Óscar de Marcos | Unai Vencedor | 1 | 7 | 2
EDGE Óscar de Marcos | Álex Berenguer | 1 | 7 | 1
EDGE Unai López | Oihan Sancet | 8 | 25 | 9
EDGE Unai López | Yuri Berchiche | 22 | 25 | 38
EDGE Unai López | Mikel San José | 1 | 25 | 4
EDGE Unai López | Dani García | 22 | 25 | 38
EDGE Unai López | Iker Muniain | 19 | 25 | 31
EDGE Unai López | Ibai Gómez | 3 | 25 | 8
EDGE Unai López | Asier Villalibre | 1 | 25 | 7
EDGE Unai López | Kenan Kodro | 1 | 25 | 4
EDGE Oihan Sancet | Yuri Berchiche | 7 | 9 | 38
EDGE Oihan Sancet | Dani García | 6 | 9 | 38
EDGE Oihan Sancet | Iker Muniain | 4 | 9 | 31
EDGE Oihan Sancet | Kenan Kodro | 1 | 9 | 4
EDGE Yuri Berchiche | Mikel San José | 3 | 38 | 4
EDGE Yuri Berchiche | Dani García | 35 | 38 | 38
EDGE Yuri Berchiche | Iker Muniain | 28 | 38 | 31
EDGE Yuri Berchiche | Ibai Gómez | 6 | 38 | 8
EDGE Yuri Berchiche | Asier Villalibre | 4 | 38 | 7
EDGE Yuri Berchiche | Gaizka Larrazabal | 2 | 38 | 3
EDGE Yuri Berchiche | Kenan Kodro | 3 | 38 | 4
EDGE Yuri Berchiche | Unai Vencedor | 2 | 38 | 2
EDGE Yuri Berchiche | Álex Berenguer | 1 | 38 | 1
EDGE Mikel San José | Dani García | 2 | 4 | 38
EDGE Mikel San José | Iker Muniain | 2 | 4 | 31
EDGE Mikel San José | Ibai Gómez | 2 | 4 | 8
EDGE Mikel San José | Asier Villalibre | 1 | 4 | 7
EDGE Mikel San José | Kenan Kodro | 1 | 4 | 4
EDGE Dani García | Iker Muniain | 28 | 38 | 31
EDGE Dani García | Ibai Gómez | 6 | 38 | 8
EDGE Dani García | Asier Villalibre | 4 | 38 | 7
EDGE Dani García | Gaizka Larrazabal | 2 | 38 | 3
EDGE Dani García | Kenan Kodro | 3 | 38 | 4
EDGE Dani García | Unai Vencedor | 1 | 38 | 2
EDGE Dani García | Álex Berenguer | 1 | 38 | 1
EDGE Iker Muniain | Ibai Gómez | 5 | 31 | 8
EDGE Iker Muniain | Asier Villalibre | 2 | 31 | 7
EDGE Iker Muniain | Gaizka Larrazabal | 1 | 31 | 3
EDGE Iker Muniain | Unai Vencedor | 1 | 31 | 2
EDGE Iker Muniain | Álex Berenguer | 1 | 31 | 1
EDGE Ibai Gómez | Asier Villalibre | 3 | 8 | 7
EDGE Ibai Gómez | Kenan Kodro | 1 | 8 | 4
EDGE Ibai Gómez | Gaizka Larrazabal | 1 | 8 | 3
EDGE Asier Villalibre | Kenan Kodro | 1 | 7 | 4
EDGE Asier Villalibre | Unai Vencedor | 1 | 7 | 2
EDGE Asier Villalibre | Gaizka Larrazabal | 1 | 7 | 3
EDGE Unai Vencedor | Álex Berenguer | 1 | 2 | 1
